报告日期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),52785,247247,37671,175005,131876,94959,
营业收入(万元),52785,247247,37671,175005,131876,94959,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),56564,206497,40412,164578,106572,79798,
营业成本(万元),14036,60587,8506,37348,25322,14920,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),825,3499,509,2545,2014,1559,
销售费用(万元),24827,86794,19315,76590,47621,38360,
管理费用(万元),17765,58690,12957,51316,35075,27420,
财务费用(万元),-1149,-4238,-976,-3960,-4282,-3054,
资产减值损失(万元),259,1166,102,738,822,593,
公允价值变动收益(万元),--,--,--,--,--,--,
投资收益(万元),527,675,190,593,299,334,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),4998,63660,726,11020,25603,15495,
营业外收入(万元),127,610,1587,19731,12952,11357,
营业外支出(万元),27,165,17,224,134,61,
非流动资产处置损失(万元),1,124,16,87,112,42,
利润总额(万元),5099,64105,2296,30527,38420,26791,
所得税费用(万元),179,6753,487,4771,5415,3506,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),4919,57352,1809,25756,33004,23285,
归属于母公司所有者的净利润(万元),4919,57352,1809,25756,33004,23285,
被合并方在合并前实现净利润(万元),--,882,--,2488,16537,--,
少数股东损益(万元),--,--,--,--,--,--,
基本每股收益,0.14,1.59,0.05,0.73,0.95,0.67,
稀释每股收益,0.14,1.59,0.05,0.73,0.95,0.67,
