报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),13199,61632,26006,10691,46179,18195,35100,34931,32727,
营业收入(万元),13199,61632,26006,10691,46179,18195,35100,34931,32727,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),10819,47379,21181,9213,38169,15078,29749,27179,20569,
营业成本(万元),6807,32041,13742,5454,23501,8310,15216,10805,7274,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),103,367,132,46,318,148,198,26,17,
销售费用(万元),444,2172,1030,565,1956,848,2065,2189,2340,
管理费用(万元),3062,12643,5831,2939,12274,6168,11867,13134,11029,
财务费用(万元),-29,-271,-129,-45,-84,-59,-323,-318,-788,
资产减值损失(万元),433,426,575,254,204,-337,726,1343,697,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),230,264,-141,-68,1257,88,1379,529,2206,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),2615,14659,4779,1419,9265,3205,6732,8281,14365,
营业外收入(万元),100,667,271,--,727,48,484,1026,172,
营业外支出(万元),0,4,1,--,3,3,1,1,13,
非流动资产处置损失(万元),--,--,--,--,--,--,--,--,--,
利润总额(万元),2715,15322,5049,1419,9988,3250,7214,9305,14523,
所得税费用(万元),292,1355,578,207,702,372,370,605,1176,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),2423,13968,4471,1212,9286,2879,6844,8700,13347,
归属于母公司所有者的净利润(万元),2289,13167,4261,1212,9109,2973,6866,8789,13347,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),133,801,210,-0,177,-95,-21,-89,--,
基本每股收益,0.06,0.37,0.12,0.03,0.3,0.1,0.25,0.33,0.49,
稀释每股收益,0.06,0.37,0.12,0.03,0.3,0.1,0.25,0.33,0.49,
