报告日期,2017-06-30,2016-12-31,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),22892,48643,60773,17429,47103,27823,22185,
营业收入(万元),22892,48643,60773,17429,47103,27823,22185,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),19996,42105,49360,13718,40854,26865,21740,
营业成本(万元),16842,36712,42536,11548,32993,22139,16376,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),169,291,340,107,275,116,165,
销售费用(万元),908,1809,2092,524,1710,1193,735,
管理费用(万元),1750,4324,5431,1158,5127,3188,2618,
财务费用(万元),-77,-88,80,1,192,239,384,
资产减值损失(万元),404,-943,-1118,380,556,-11,1462,
公允价值变动收益(万元),--,--,--,--,--,--,--,
投资收益(万元),180,210,108,60,-101,-82,--,
对联营企业和合营企业的投资收益(万元),--,--,-269,--,-149,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),3076,6748,11520,3771,6149,876,445,
营业外收入(万元),18,847,440,26,297,475,217,
营业外支出(万元),42,174,826,0,71,33,127,
非流动资产处置损失(万元),0,85,819,--,7,29,102,
利润总额(万元),3052,7421,11135,3797,6375,1319,535,
所得税费用(万元),460,969,1583,582,1036,188,72,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),2592,6453,9551,3215,5340,1130,463,
归属于母公司所有者的净利润(万元),2686,6214,8490,2980,4898,991,420,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,
少数股东损益(万元),-93,239,1062,235,442,140,43,
基本每股收益,0.3,0.69,0.94,0.33,0.54,0.11,0.05,
稀释每股收益,0.3,0.69,0.94,0.33,0.54,0.11,0.05,
