报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),6084,29968,20353,12949,4546,26235,17838,31510,22596,18027,
营业收入(万元),6084,29968,20353,12949,4546,26235,17838,31510,22596,18027,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),4762,21215,14057,9012,3255,17744,12109,23665,16437,13592,
营业成本(万元),3716,15448,9834,6364,2260,12015,7846,14979,11616,9546,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),74,453,331,223,68,380,245,343,239,187,
销售费用(万元),219,1353,818,523,255,1402,1023,1487,1830,1500,
管理费用(万元),745,3574,2754,1692,727,3760,2846,6131,2376,1685,
财务费用(万元),-20,183,196,174,84,298,227,299,259,237,
资产减值损失(万元),28,203,125,37,-138,-112,-79,425,117,436,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),--,210,210,201,--,--,--,114,135,102,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,28,55,42,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1322,9108,6507,4137,1291,8491,5729,7960,6294,4536,
营业外收入(万元),10,62,190,110,13,295,243,3330,176,147,
营业外支出(万元),5,16,22,4,1,89,34,306,560,343,
非流动资产处置损失(万元),--,--,3,3,--,56,--,244,12,--,
利润总额(万元),1327,9153,6674,4243,1303,8698,5937,10984,5910,4340,
所得税费用(万元),195,1361,1001,586,198,1285,891,2055,969,706,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),1132,7792,5673,3657,1105,7412,5047,8928,4941,3634,
归属于母公司所有者的净利润(万元),1132,7792,5673,3657,1105,7412,5047,8928,4941,3634,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.09,0.76,0.58,0.39,0.12,0.78,0.53,0.99,--,--,
稀释每股收益,0.09,0.76,0.58,0.39,0.12,0.78,0.53,0.99,--,--,
