报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),17358,72753,52298,33613,15152,65672,48222,61020,30704,68888,61925,52946,
营业收入(万元),17358,72753,52298,33613,15152,65672,48222,61020,30704,68888,61925,52946,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),16978,67935,48453,30861,14095,59414,43645,55315,27565,61324,55426,48554,
营业成本(万元),14005,55322,39772,25492,11503,48310,35625,45721,23008,50861,46861,42954,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),124,567,423,246,116,483,316,391,93,308,124,109,
销售费用(万元),811,3361,2342,1418,657,3182,2235,2827,1280,3030,2492,1547,
管理费用(万元),1865,7771,5219,3298,1663,6809,4976,5603,2745,6037,4422,3432,
财务费用(万元),133,824,625,420,192,468,369,745,383,987,1426,658,
资产减值损失(万元),40,90,72,-13,-36,162,123,28,56,102,101,-145,
公允价值变动收益(万元),--,--,--,--,--,14,14,-14,--,--,--,--,
投资收益(万元),144,49,13,13,--,13,5,87,87,73,15,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),529,4939,3858,2764,1057,6285,4596,5777,3225,7637,6514,4392,
营业外收入(万元),51,212,194,151,35,468,238,200,58,117,122,61,
营业外支出(万元),11,161,116,72,14,313,108,224,78,248,89,79,
非流动资产处置损失(万元),--,--,15,14,--,45,43,119,8,113,47,23,
利润总额(万元),570,4990,3936,2843,1077,6440,4726,5753,3205,7506,6547,4374,
所得税费用(万元),72,651,619,454,159,1189,863,1058,600,1550,1197,685,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),498,4339,3317,2389,919,5251,3863,4695,2604,5956,5350,3689,
归属于母公司所有者的净利润(万元),461,4158,3158,2325,895,5156,3792,4628,2570,5899,5322,3689,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),36,181,159,64,23,95,71,67,35,57,28,0,
基本每股收益,0.04,0.41,0.33,0.24,0.09,0.54,0.4,0.53,0.32,0.74,0.69,0.66,
稀释每股收益,0.04,0.41,0.33,0.24,0.09,0.54,0.4,0.53,0.32,0.74,0.69,0.66,
