 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),35051,118930,78155,55421,27155,107098,70975,51475,97311,94597,79976,63831, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),603,4617,1146,453,230,1384,677,384,671,587,520,378, 
 经营活动现金流入小计(万元),35654,123547,79301,55874,27385,108482,71652,51860,97982,95185,80496,64209, 
 购买商品、接受劳务支付的现金(万元),20385,55305,37987,21493,11668,44837,32367,20652,39937,41175,40298,33085, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7498,21903,16778,12295,7025,21306,16122,11908,20664,17859,15271,11052, 
 支付的各项税费(万元),2262,11760,9225,6624,3744,11509,9424,6134,11663,9471,8254,5664, 
 支付的其他与经营活动有关的现金(万元),6200,29326,16448,10266,4012,24708,15458,9514,20008,16618,14683,13394, 
 经营活动现金流出小计(万元),36345,118294,80437,50679,26449,102361,73370,48207,92272,85124,78505,63196, 
 经营活动产生的现金流量净额(万元),-691,5253,-1136,5196,936,6120,-1718,3652,5710,10061,1991,1013, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),4,236,9,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,67,3,0,0,325,325,325,0,0,6,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),1000,104975,3000,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1004,105278,3013,0,0,325,325,325,0,0,6,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),206,801,765,617,225,2484,1705,1415,14877,857,940,786, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),11500,106875,19275,--,--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),11706,107676,20040,617,225,2484,1705,1415,14877,857,940,786, 
 投资活动产生的现金流量净额(万元),-10702,-2397,-17027,-617,-225,-2159,-1380,-1090,-14876,-856,-934,-786, 
 吸收投资收到的现金(万元),--,42057,39375,39375,--,--,--,--,--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,5900,2900,2000,8542,--,--,4079, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,42057,39375,39375,0,5900,2900,2000,8542,0,0,4079, 
 偿还债务支付的现金(万元),--,5000,5000,5000,2000,7531,4101,3414,1911,--,1000,3079, 
 分配股利、利润或偿付利息所支付的现金(万元),--,2057,2057,2057,2039,327,125,125,1719,4000,12,26, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,903,944,944,53,100,50,50,249,100,285,60, 
 筹资活动现金流出小计(万元),0,7960,8001,8001,4093,7959,4277,3590,3878,4100,1297,3165, 
 筹资活动产生的现金流量净额(万元),0,34096,31374,31374,-4093,-2059,-1377,-1590,4664,-4100,-1297,914, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),-11392,36952,13210,35952,-3382,1903,-4475,973,-4502,5104,-240,1141, 
 加:期初现金及现金等价物余额(万元),46938,9986,9986,9986,9984,8083,8083,8083,12585,7481,7721,6580, 
 期末现金及现金等价物余额(万元),35545,46938,23196,45938,6602,9986,3607,9055,8083,12585,7481,7721, 
 净利润(万元),--,6887,--,4445,--,7912,--,--,7091,7897,--,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,238,--,154,--,192,--,--,405,654,--,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,997,--,504,--,660,--,--,221,314,--,--, 
 无形资产摊销(万元),--,131,--,55,--,101,--,--,91,88,--,--, 
 长期待摊费用摊销(万元),--,1183,--,494,--,756,--,--,319,316,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,-20,--,1,--,19,--,--,8,8,--,--, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,50,--,50,--,325,--,--,230,--,--,--, 
 投资损失(万元),--,-236,--,--,--,--,--,--,--,--,--,--, 
 递延所得税资产减少(万元),--,-83,--,-39,--,-52,--,--,-101,-174,--,--, 
 递延所得税负债增加(万元),--,3,--,0,--,-7,--,--,-9,39,--,--, 
 存货的减少(万元),--,-5784,--,-357,--,-1144,--,--,-2106,-3681,--,--, 
 经营性应收项目的减少(万元),--,-1240,--,-800,--,-868,--,--,-548,537,--,--, 
 经营性应付项目的增加(万元),--,3230,--,687,--,-1766,--,--,101,4123,--,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,-104,--,0,--,-10,--,--,9,-61,--,--, 
 经营活动产生现金流量净额(万元),--,5253,--,5196,--,6120,--,--,5710,10061,--,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),35545,46938,23196,45938,6602,9986,3607,9055,8083,12585,7481,7721, 
 现金的期初余额(万元),46938,9986,9986,9986,9984,8083,8083,8083,12585,7481,7721,6580, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-11392,36952,13210,35952,-3382,1903,-4475,973,-4502,5104,-240,1141, 

