 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),9175,38298,27454,17138,7624,41066,21003,9652,34044,28425,26873, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,29,--,--,--,--,744,895,517, 
 收到的其他与经营活动有关的现金(万元),146,751,588,241,291,2740,2605,1644,4746,1910,1183, 
 经营活动现金流入小计(万元),9321,39049,28041,17408,7915,43806,23607,11296,39534,31230,28573, 
 购买商品、接受劳务支付的现金(万元),625,2455,1376,1037,553,3643,1468,979,2939,2881,2029, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2049,6568,4885,3326,1828,5743,2973,1650,5199,4336,3396, 
 支付的各项税费(万元),1315,4957,3567,2283,854,6146,3536,1625,5033,3617,4160, 
 支付的其他与经营活动有关的现金(万元),827,2044,1522,1010,448,3209,1980,1650,4093,3618,1074, 
 经营活动现金流出小计(万元),4816,16024,11350,7657,3683,18741,9958,5905,17264,14452,10659, 
 经营活动产生的现金流量净额(万元),4504,23025,16691,9751,4231,25065,13650,5392,22270,16778,17914, 
 收回投资所收到的现金(万元),--,11100,5000,--,--,31350,15700,12700,4400,--,--, 
 取得投资收益所收到的现金(万元),--,38,10,--,--,39,7,6,5,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),0,15,2,0,--,45,13,1,27,--,4, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,999,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,15,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,11153,5012,0,0,31448,15721,12707,5431,0,4, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),2621,10045,5848,2774,1647,5932,3203,1360,15166,7435,14390, 
 投资所支付的现金(万元),--,11100,7800,--,--,31200,15700,13700,4400,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),2531,--,--,--,--,--,--,--,14766,11620,14959, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,572,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),5152,21145,13648,2774,1647,37704,18903,15060,34331,19055,29349, 
 投资活动产生的现金流量净额(万元),-5151,-9992,-8636,-2774,-1647,-6256,-3182,-2352,-28900,-19055,-29345, 
 吸收投资收到的现金(万元),49388,--,--,--,--,9364,9364,9364,29637,--,6000, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,36030,36030,36030,36000,35000,28000,28000,38650,21350,45745, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,2978,2968,968,968,500,500,500,476,--,--, 
 筹资活动现金流入小计(万元),49388,39008,38998,36998,36968,44864,37864,37864,68763,21350,51745, 
 偿还债务支付的现金(万元),4000,48500,47500,45500,44501,52846,44955,30346,58117,16768,21033, 
 分配股利、利润或偿付利息所支付的现金(万元),717,3189,2431,1651,848,4643,3050,1437,5784,5901,15235, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),509,2265,2191,2071,2055,421,125,54,1336,--,500, 
 筹资活动现金流出小计(万元),5225,53953,52122,49221,47403,57910,48130,31838,65237,22669,36767, 
 筹资活动产生的现金流量净额(万元),44163,-14946,-13124,-12224,-10435,-13047,-10266,6026,3526,-1319,14978, 
 汇率变动对现金及现金等价物的影响(万元),-6,-13,-10,-5,0,3,1,-0,2,2,-9, 
 现金及现金等价物净增加额(万元),43509,-1925,-5078,-5251,-7851,5765,202,9065,-3102,-3594,3538, 
 加:期初现金及现金等价物余额(万元),7599,9295,9295,9295,9350,3531,3531,3531,6633,10227,6689, 
 期末现金及现金等价物余额(万元),51108,7370,4218,4044,1499,9295,3733,12596,3531,6633,10227, 
 净利润(万元),--,9264,7169,4379,--,8397,5587,2098,8050,6606,4684, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,-166,-181,-183,--,211,202,21,16,-20,30, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,7997,6032,3994,--,7719,3780,1890,7881,7224,6330, 
 无形资产摊销(万元),--,985,738,492,--,974,483,241,845,807,735, 
 长期待摊费用摊销(万元),--,1176,856,551,--,1695,1075,776,1132,530,512, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,123,106,41,--,210,19,22,39,217,23, 
 固定资产报废损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--,--,--,--, 
 财务费用(万元),--,3146,2381,1608,--,4572,2575,1417,5876,5894,4982, 
 投资损失(万元),--,-38,-10,--,--,-39,-8,-6,-81,--,--, 
 递延所得税资产减少(万元),--,41,45,46,--,-51,-51,-5,-4,6,-7, 
 递延所得税负债增加(万元),--,-159,-120,-80,--,-161,-85,-42,-167,-159,-146, 
 存货的减少(万元),--,5,82,60,--,24,56,47,-15,12,-6, 
 经营性应收项目的减少(万元),--,-141,-1025,-1370,--,2361,80,-555,-63,3394,15981, 
 经营性应付项目的增加(万元),--,793,618,214,--,-849,-63,-512,-1239,-7734,-15205, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--,--,--,--, 
 其他(万元),--,--,--,--,--,--,--,--,--,--,--, 
 经营活动产生现金流量净额(万元),--,23025,16691,9751,--,25065,13650,5392,22270,16778,17914, 
 债务转为资本(万元),--,--,--,--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),51108,7370,4218,4044,1499,9295,3733,12596,3531,6633,10227, 
 现金的期初余额(万元),7599,9295,9295,9295,9350,3531,3531,3531,6633,10227,6689, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),43509,-1925,-5078,-5251,-7851,5765,202,9065,-3102,-3594,3538, 

