 报告日期,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),27068,21961,11626,17738,18144,15807, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),181,422,70,116,172,719, 
 经营活动现金流入小计(万元),27249,22383,11696,17855,18316,16526, 
 购买商品、接受劳务支付的现金(万元),4340,5221,2864,5988,8077,6324, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3079,2811,1447,2492,2397,2323, 
 支付的各项税费(万元),4255,4025,1939,1760,2413,3132, 
 支付的其他与经营活动有关的现金(万元),2315,2563,1122,1547,1738,1465, 
 经营活动现金流出小计(万元),13988,14621,7372,11787,14626,13245, 
 经营活动产生的现金流量净额(万元),13261,7762,4324,6068,3690,3281, 
 收回投资所收到的现金(万元),--,3000,3000,5000,30000,--, 
 取得投资收益所收到的现金(万元),4,12,12,62,213,1, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,415,126,164,11,0, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,84,--,--, 
 收到的其他与投资活动有关的现金(万元),454,102,102,9157,17370,13138, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--, 
