 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31, 
 销售商品、提供劳务收到的现金(万元),20063,66335,44636,30087,14848,47000,30289,20481,38617,35896,29715,11306,21189,13160,10783, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),2198,4240,2751,1947,977,2643,1706,1058,2361,2601,2172,1445,2178,1116,941, 
 收到的其他与经营活动有关的现金(万元),279,1770,1438,1316,544,611,656,472,787,423,636,146,497,5279,2505, 
 经营活动现金流入小计(万元),22540,72344,48825,33350,16369,50254,32651,22011,41765,38919,32524,12897,23864,19555,14229, 
 购买商品、接受劳务支付的现金(万元),11325,36118,23130,15630,7089,25222,16436,9859,18036,22123,18863,7341,14498,6487,8481, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4842,15185,10791,7248,3482,10076,6845,4664,7615,6865,4830,1868,3028,1306,1167, 
 支付的各项税费(万元),1050,2457,2171,1648,1181,2943,2994,2152,1867,1603,1619,1162,1914,466,427, 
 支付的其他与经营活动有关的现金(万元),3947,11848,8244,5234,3814,8124,5149,4280,6959,5812,4520,980,2058,3567,4389, 
 经营活动现金流出小计(万元),21165,65607,44337,29760,15566,46365,31424,20955,34478,36402,29831,11351,21497,11826,14465, 
 经营活动产生的现金流量净额(万元),1375,6737,4488,3590,803,3889,1228,1056,7287,2517,2693,1546,2367,7729,-236, 
 收回投资所收到的现金(万元),--,1320,--,--,--,--,--,--,1800,1200,--,--,300,132,--, 
 取得投资收益所收到的现金(万元),0,70,63,61,19,133,208,54,74,115,417,97,61,51,445, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),210,38,43,17,17,--,--,--,54,24,25,16,53,61,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,20,--,--,150,--,--, 
 收到的其他与投资活动有关的现金(万元),2325,146,124,108,0,64,64,64,6735,3249,152,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),2535,1574,230,187,36,197,273,118,8664,4608,594,113,564,244,445, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),1579,10752,8927,7534,6385,9919,7980,5397,2106,2903,1713,2489,4251,877,251, 
 投资所支付的现金(万元),--,17420,--,--,--,630,630,713,--,1720,1550,54,--,394,366, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,866,--,--, 
 支付的其他与投资活动有关的现金(万元),7720,--,--,--,0,181,114,--,--,6005,3050,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),9300,28172,8927,7534,6385,10730,8725,6109,2106,10629,6313,2543,5118,1271,617, 
 投资活动产生的现金流量净额(万元),-6765,-26598,-8697,-7348,-6349,-10533,-8452,-5991,6557,-6021,-5719,-2430,-4554,-1027,-172, 
 吸收投资收到的现金(万元),--,31133,--,--,-0,2250,2250,2250,--,--,--,--,2200,165,36, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,36, 
 取得借款收到的现金(万元),1099,36448,22534,14444,7554,22244,20466,17887,27076,19114,4717,--,622,1000,5250, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),0,2359,4052,--,1185,--,--,--,650,861,--,--,--,--,--, 
 筹资活动现金流入小计(万元),1099,69940,26586,14444,8740,24494,22716,20137,27726,19976,4717,0,2822,1165,5286, 
 偿还债务支付的现金(万元),5879,34852,25915,12931,2474,14980,14980,14480,30346,8835,3500,--,622,2150,4930, 
 分配股利、利润或偿付利息所支付的现金(万元),93,518,421,320,101,286,179,150,1455,1440,1558,960,1242,802,121, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),906,1923,65,967,1002,10718,10163,7773,211,--,1300,--,40,--,--, 
 筹资活动现金流出小计(万元),6878,37292,26401,14217,3578,25984,25322,22402,32012,10275,6358,960,1904,2952,5051, 
 筹资活动产生的现金流量净额(万元),-5780,32647,186,227,5162,-1490,-2606,-2265,-4287,9701,-1641,-960,918,-1787,235, 
 汇率变动对现金及现金等价物的影响(万元),-102,-363,-197,-239,-58,780,289,59,78,-18,-7,-40,-62,2,-11, 
 现金及现金等价物净增加额(万元),-11271,12423,-4220,-3770,-442,-7354,-9541,-7141,9636,6179,-4675,-1884,-1330,4916,-183, 
