 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2013-06-30,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),86296,313267,234313,80327,262422,228918,154002,--,--,--, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,291494,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),20987,69216,51133,19528,62339,50589,51701,34653,20972,21215, 
 拆入资金净增加额(万元),-97769,728375,496127,143306,599987,154263,501526,293692,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,300000,--,15803,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1486,2762,2007,292,1024,13017,6403,2031,56,1116, 
 经营活动现金流入小计(万元),502862,3817562,3045387,1448200,2665130,1835225,1589636,1182157,701969,1073411, 
 购买商品、接受劳务支付的现金(万元),889569,3489988,2786016,1522369,2634102,1610490,1520890,--,--,--, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),-7,44,--,8,--,--,--,--,-1293,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),47778,144124,101201,26897,101991,102457,93359,65291,28832,53626, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2381,7807,4509,1181,6377,5021,4366,3930,1374,3192, 
 支付的各项税费(万元),5199,50168,40468,6100,48112,48231,35885,19243,12468,16795, 
 支付的其他与经营活动有关的现金(万元),2216,6213,5859,1268,6044,4670,6141,9455,5794,6367, 
 经营活动现金流出小计(万元),947360,3704206,2943859,1561630,2803126,1771921,1728884,1181834,721095,1037429, 
 经营活动产生的现金流量净额(万元),-444498,113357,101528,-113430,-137997,63304,-139249,323,-19126,35981, 
 收回投资所收到的现金(万元),6598,2731,2731,2731,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),4687,299,299,52,71,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,4,4,--,5,0,--,3,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),793,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),12077,3034,3034,2783,77,0,0,3,0,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),878,9505,8665,2232,3694,674,18752,10790,150,213, 
 投资所支付的现金(万元),--,--,--,--,3100,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,1443,921,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),878,10948,9586,2232,6794,674,18752,10790,150,213, 
 投资活动产生的现金流量净额(万元),11200,-7914,-6553,551,-6718,-674,-18752,-10787,-150,-213, 
 吸收投资收到的现金(万元),393019,--,--,--,--,--,--,33000,33000,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 发行债券收到的现金(万元),100000,315187,315187,164987,199400,91383,150000,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,28218,--,--,--, 
 筹资活动现金流入小计(万元),493019,315187,315187,164987,199400,91383,178218,33000,33000,0, 
 偿还债务支付的现金(万元),23307,380808,335799,14754,46586,90460,--,--,--,--, 
 分配股利、利润或偿付利息所支付的现金(万元),1109,40982,39385,743,20203,45353,17250,38400,38400,10000, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),595,420,276,248,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),25011,422209,375461,15745,66789,135813,17250,38400,38400,10000, 
 筹资活动产生的现金流量净额(万元),468008,-107022,-60274,149242,132611,-44430,160968,-5400,-5400,-10000, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--,--,--,--,--,--, 
 现金及现金等价物净增加额(万元),34710,-1580,34701,36363,-12103,18200,2968,-15864,-24676,25768, 
 加:期初现金及现金等价物余额(万元),38891,40471,40471,40471,52574,34375,31406,47612,47612,21844, 
 期末现金及现金等价物余额(万元),73601,38891,75173,76835,40471,52574,34375,31748,22936,47612, 
 净利润(万元),--,101063,86661,--,82404,73244,60600,50245,--,38410, 
 少数股东损益(万元),--,--,--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,39062,22225,--,55890,32233,22445,18901,--,10097, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1983,1330,--,467,370,312,244,--,266, 
 无形资产摊销(万元),--,--,--,--,--,--,--,--,--,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,--,--,--,--,--,--,-2,--,--, 
