 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2015-09-30,2014-12-31,2014-03-31,2013-12-31,2012-12-31,2011-12-31, 
 销售商品、提供劳务收到的现金(万元),80034,330279,243693,165518,91274,325645,237980,327220,246090,338852,--,362559,349106,321227, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),199,--,--,--,--,--,--,60,--,--,--,--,--,6, 
 收到的其他与经营活动有关的现金(万元),624,1553,1382,872,457,1857,1012,2744,2674,2566,--,2158,2136,6976, 
 经营活动现金流入小计(万元),80857,331832,245075,166391,91731,327503,238992,330025,248764,341418,--,364717,351242,328209, 
 购买商品、接受劳务支付的现金(万元),58155,271868,202256,140289,85289,261104,192036,272536,203176,290433,--,298836,279900,250770, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2570,7912,5988,4284,2628,7794,6042,8159,6349,8547,--,7893,7585,6174, 
 支付的各项税费(万元),2652,19473,12772,10508,5747,17971,13781,18071,13955,20766,--,21800,20881,17528, 
 支付的其他与经营活动有关的现金(万元),5457,18712,14169,8915,4972,17101,12349,19973,15799,15659,--,20718,18591,16299, 
 经营活动现金流出小计(万元),68833,317965,235185,163997,98636,303969,224208,318739,239280,335405,--,349247,326957,290771, 
 经营活动产生的现金流量净额(万元),12024,13867,9890,2394,-6905,23533,14784,11285,9484,6013,-1439,15471,24286,37438, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,9588,--,--, 
 取得投资收益所收到的现金(万元),--,753,753,753,753,1004,1004,193,--,97,--,30,--,149, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,26,--,--,--,--,--,--,--,--,--,437,10992,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,24,24,42,42,--,--,--,14697,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),0,779,753,753,753,1028,1028,235,42,97,--,10055,25689,149, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),332,3644,2171,1928,1027,7167,5872,3367,1504,7089,--,13355,21022,17785, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,9174,--,9481, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--, 
