 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),27809,72568,37388,8055,35429,45428,44546,7746, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),740,3490,3216,89,3711,4532,1105,312, 
 收到的其他与经营活动有关的现金(万元),819,1097,1550,682,945,715,3993,3413, 
 经营活动现金流入小计(万元),29368,77155,42155,8827,40085,50675,49644,11471, 
 购买商品、接受劳务支付的现金(万元),10357,35103,23583,11076,15336,24390,21589,4491, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6203,19171,12955,3331,14486,10637,5067,2853, 
 支付的各项税费(万元),910,2933,1802,781,2494,4211,1536,551, 
 支付的其他与经营活动有关的现金(万元),4473,4721,4551,1330,4649,4886,4207,4805, 
 经营活动现金流出小计(万元),21942,61927,42892,16519,36965,44124,32399,12700, 
 经营活动产生的现金流量净额(万元),7426,15228,-737,-7692,3120,6551,17245,-1229, 
 收回投资所收到的现金(万元),29498,99388,66123,21425,26594,227685,28275,--, 
 取得投资收益所收到的现金(万元),76,112,61,11,42,481,62,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),7,156,156,75,154,63,40,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,-183,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,-183,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),29581,99473,66157,21511,26790,228229,28378,0, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),894,4384,1901,39,5328,3632,3681,1171, 
 投资所支付的现金(万元),54111,99390,70735,14146,26594,215685,40270,5, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),55005,103774,72636,14185,31922,219317,43951,1176, 
 投资活动产生的现金流量净额(万元),-25424,-4301,-6479,7326,-5132,8913,-15574,-1176, 
 吸收投资收到的现金(万元),--,25600,--,--,--,--,587,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,18595,16365,--,10215,--,3721,1450, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),0,44195,16365,0,10215,0,4308,1450, 
 偿还债务支付的现金(万元),2940,18052,5935,2354,4272,921,4265,2027, 
 分配股利、利润或偿付利息所支付的现金(万元),40,3329,3232,47,112,5703,92,140, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,170,99,--,160,--,--,--, 
 筹资活动现金流出小计(万元),2981,21550,9266,2401,4544,6623,4357,2167, 
 筹资活动产生的现金流量净额(万元),-2981,22644,7099,-2401,5671,-6623,-50,-717, 
 汇率变动对现金及现金等价物的影响(万元),-902,-686,-368,-96,295,236,0,-23, 
 现金及现金等价物净增加额(万元),-21881,32885,-485,-2863,3954,9076,1623,-3145, 
 加:期初现金及现金等价物余额(万元),48292,15406,15406,15406,11452,2376,754,3899, 
 期末现金及现金等价物余额(万元),26411,48292,14921,12544,15406,11452,2376,754, 
 净利润(万元),--,9567,8334,--,4805,12705,13287,--, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,618,947,--,506,178,-4,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),--,1272,955,--,928,575,409,--, 
 无形资产摊销(万元),--,82,62,--,74,30,22,--, 
 长期待摊费用摊销(万元),--,--,--,--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),--,18,19,--,37,-2,0,--, 
 固定资产报废损失(万元),--,0,--,--,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--,--,--,--, 
 财务费用(万元),--,852,538,--,-161,-233,92,--, 
 投资损失(万元),--,-110,-61,--,-42,-481,-62,--, 
 递延所得税资产减少(万元),--,-207,-264,--,-281,-156,-3,--, 
 递延所得税负债增加(万元),--,--,--,--,--,--,--,--, 
 存货的减少(万元),--,-14448,-19377,--,-198,1022,-5586,--, 
 经营性应收项目的减少(万元),--,-3091,-18178,--,-5124,-2041,-1452,--, 
 经营性应付项目的增加(万元),--,23363,26549,--,824,-5113,10618,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--,--,--,--, 
 其他(万元),--,-2688,-260,--,1752,68,-75,--, 
 经营活动产生现金流量净额(万元),--,15228,-737,--,3120,6551,17245,--, 
 债务转为资本(万元),--,--,--,--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--,--,--,--, 
 现金的期末余额(万元),26411,48292,14921,12544,15406,11452,2376,754, 
 现金的期初余额(万元),48292,15406,15406,15406,11452,2376,754,3899, 
 现金等价物的期末余额(万元),--,--,--,--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),-21881,32885,-485,-2863,3954,9076,1623,-3145, 

