报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),2412,46262,10730,5971,8669,11327,8535,8324,10105,11788,8780,6538,3367,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),41700,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),58,58,100,100,--,44,151,172,139,584,60,--,--,
应收账款(万元),10147,7777,6913,8312,6996,7860,9662,9287,7676,7005,5520,3302,2842,
预付款项(万元),753,203,492,198,627,432,565,428,63,10,196,170,258,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1058,554,583,461,492,492,418,341,95,62,675,847,638,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),3589,2253,2150,1820,1918,2105,2542,2908,2632,1816,1662,3151,455,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),101,95,32000,35581,32042,30004,--,--,--,--,--,--,--,
流动资产合计(万元),59817,57201,52967,52443,50742,52264,21873,21459,20710,21266,16892,14007,7559,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,
固定资产原值(万元),--,2356,--,1981,--,1950,--,1939,1931,1944,1888,1704,157,
累计折旧(万元),--,913,--,828,--,752,--,677,602,456,302,164,90,
固定资产净值(万元),--,1443,--,1153,--,1198,--,1262,1329,1488,1586,1540,68,
固定资产减值准备(万元),--,7,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),1410,1435,1161,1153,1171,1198,1224,1262,1329,1488,1586,1540,68,
在建工程(万元),10975,9757,9263,9208,8805,8747,7918,7472,6156,365,--,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),2700,2772,2867,2048,2105,2177,1456,1466,1477,1515,1545,11,8,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),4450,4450,4486,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),231,142,147,141,105,99,90,86,97,79,80,47,30,
其他非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动资产合计(万元),19766,18556,17923,12550,12185,12221,10689,10286,9059,3447,3211,1598,106,
资产总计(万元),79583,75757,70891,64993,62928,64485,32562,31745,29768,24713,20103,15605,7665,
短期借款(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),166,1073,1086,488,1016,890,760,628,1841,678,500,--,--,
应付账款(万元),5353,3448,3124,3670,2580,3264,2536,2838,2239,905,812,1633,667,
预收账款(万元),196,155,365,64,115,313,454,317,199,249,593,2645,154,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),842,1370,786,683,579,975,608,548,1009,1204,1035,1095,161,
应交税费(万元),494,1459,830,687,156,756,193,402,490,491,178,-325,223,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),3379,46,181,88,49,31,30,54,1,--,1,0,238,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
流动负债合计(万元),10429,7550,6373,5679,4495,6229,4581,4788,5779,3528,3117,5048,1444,
长期借款(万元),--,--,--,--,--,0,--,--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
长期递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税负债(万元),126,129,161,--,--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,
非流动负债合计(万元),126,129,161,0,0,0,0,0,0,0,0,0,0,
负债合计(万元),10555,7679,6534,5679,4495,6229,4581,4788,5779,3528,3117,5048,1444,
实收资本(或股本)(万元),7343,7180,7180,7180,7180,7180,5380,5380,5380,5380,5380,5380,1231,
资本公积(万元),31708,28367,28367,28367,28367,28367,2081,2081,2081,2081,2081,2081,972,
减:库存股(万元),3324,--,--,--,--,--,--,--,--,--,--,--,--,
专项储备(万元),69,69,68,68,68,68,68,68,66,60,52,27,--,
