报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),69433,21652,24280,52312,64312,36671,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),17140,21504,20315,14642,8968,9193,
应收账款(万元),10853,5887,13725,8439,10914,9007,
预付款项(万元),3225,2255,2212,2253,2261,2159,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),3559,1310,2573,1888,2318,4142,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),25216,23373,21996,17613,25197,26151,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,
其他流动资产(万元),1472,2878,2537,3106,3064,24872,
流动资产合计(万元),130898,78859,87637,100253,117034,112194,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),--,260395,--,249367,--,--,
累计折旧(万元),--,118537,--,100690,--,--,
固定资产净值(万元),--,141858,--,148677,--,--,
固定资产减值准备(万元),--,1984,--,1948,--,--,
固定资产(万元),142241,139874,143883,146729,137634,135210,
在建工程(万元),22571,23266,15411,7222,24920,17695,
工程物资(万元),--,--,--,--,--,208,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),51658,52116,53300,54134,52791,54972,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),1231,1231,1231,1231,1231,1231,
长期待摊费用(万元),54,50,67,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),5339,5176,4335,4381,4409,4577,
其他非流动资产(万元),8087,9920,10743,13327,11531,5566,
非流动资产合计(万元),231181,231632,228970,227024,232516,219458,
资产总计(万元),362079,310492,316607,327277,349551,331652,
短期借款(万元),20500,20100,28200,32500,49600,40615,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),1300,1000,400,--,10541,9250,
应付账款(万元),9327,13969,11761,10283,19921,13021,
预收账款(万元),5832,6054,6315,7532,11133,11014,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),6369,5428,7323,6197,3564,2471,
应交税费(万元),3298,3142,3509,3866,5230,4553,
应付利息(万元),82,78,81,67,92,44,
应付股利(万元),95,95,--,136,--,4,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),13946,13222,19422,17243,11922,16751,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),6140,6140,4168,7945,15445,25400,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),66889,69228,81180,85770,127448,123124,
长期借款(万元),31403,31403,34923,31742,38435,20150,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),682,682,1683,17375,682,20682,
专项应付款(万元),2000,2000,--,--,--,--,
预计非流动负债(万元),47,54,52,8,22,--,
长期递延收益(万元),1624,1700,1818,1967,1433,845,
递延所得税负债(万元),944,944,1017,1089,1253,1416,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),45586,46316,49124,63193,51216,55086,
负债合计(万元),112475,115544,130303,148963,178665,178210,
实收资本(或股本)(万元),91775,76775,76775,76775,76775,76775,
资本公积(万元),58157,24282,24282,24282,24282,24282,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),191,3,292,208,483,890,
盈余公积(万元),7982,7795,7023,7023,5794,3887,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),76442,71625,64842,57556,50074,35310,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),234584,180516,173242,165833,157397,141178,
少数股东权益(万元),15020,14432,13062,12481,13489,12264,
所有者权益(或股东权益)合计(万元),249604,194948,186304,178314,170886,153442,
负债和所有者权益(或股东权益)总计(万元),362079,310492,316607,327277,349551,331652,		
