报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),17278,20146,13186,7870,4745,1534,488,1063,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),3459,2081,1584,861,8989,--,--,100,
应收账款(万元),19912,24387,29376,31449,18226,17289,9215,4717,
预付款项(万元),7326,3281,3309,3075,2869,2356,1225,1710,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),604,181,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),2088,1954,1966,1720,3027,2798,1010,400,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),25541,23185,24431,21854,14454,13156,5706,5070,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,
其他流动资产(万元),56057,62906,2973,2101,2802,1365,684,370,
流动资产合计(万元),132265,138121,76824,68929,55113,38498,18328,13430,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),--,46345,--,40506,25061,21738,16016,--,
累计折旧(万元),--,10229,--,8437,7278,5389,3792,--,
固定资产净值(万元),--,36116,--,32068,17783,16349,12224,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),36382,36116,32789,32068,17783,16349,12224,10501,
在建工程(万元),11805,10933,2112,572,11262,--,1782,126,
工程物资(万元),--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),4414,4441,4472,4498,3706,2320,1682,1229,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,
长期待摊费用(万元),2,3,3,3,3,--,707,711,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),539,719,629,715,760,519,610,316,
其他非流动资产(万元),5523,2585,2985,1568,1632,931,233,73,
非流动资产合计(万元),58665,54796,42989,39424,35147,20119,17238,12956,
资产总计(万元),190931,192917,119813,108353,90260,58617,35566,26386,
短期借款(万元),29701,26323,26407,21143,17855,10523,12691,6700,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),4308,4308,8511,5062,--,--,290,439,
应付账款(万元),6822,10187,9115,10833,8225,4733,3468,3370,
预收账款(万元),2064,1482,529,522,2980,1045,519,70,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
