报告日期,2018-03-31,2017-12-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),19669,9052,9924,9838,26479,24738,7958,
结算备付金(万元),--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,86,
衍生金融资产(万元),--,--,--,--,--,--,--,
应收票据(万元),38371,41968,18818,12940,11551,7786,5879,
应收账款(万元),67427,53201,45529,46088,44907,39002,32010,
预付款项(万元),7585,1234,1430,1777,1158,1986,2631,
应收保费(万元),--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,
应收利息(万元),--,--,--,23,159,493,106,
应收股利(万元),--,--,--,--,--,--,--,
其他应收款(万元),989,1016,2099,1590,1770,1314,1177,
应收出口退税(万元), --,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,
存货(万元),70351,65913,42188,51704,49326,50317,49656,
待摊费用(万元),--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,
其他流动资产(万元),9573,11277,5842,6411,5722,1424,3498,
流动资产合计(万元),213966,183660,125829,130371,141071,127060,103001,
发放贷款及垫款(万元),--,--,--,--,--,--,--,
可供出售金融资产(万元),7000,7000,7000,7000,7000,7100,7100,
持有至到期投资(万元),--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,
长期股权投资(万元),56756,58667,51043,46588,43927,38565,27587,
其他长期投资(万元),--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,
固定资产原值(万元),--,273315,184174,--,171848,--,--,
累计折旧(万元),--,98874,85147,--,70871,--,--,
固定资产净值(万元),--,174441,99027,--,100976,--,--,
固定资产减值准备(万元),--,414,1041,--,--,--,--,
固定资产(万元),173303,174027,97986,100297,100976,86889,80839,
在建工程(万元),19409,17616,42997,24667,13867,12324,12468,
工程物资(万元),--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,
无形资产(万元),36915,37047,19508,18417,18859,13122,12681,
开发支出(万元),--,--,--,--,--,--,--,
商誉(万元),938,938,938,938,938,728,--,
长期待摊费用(万元),444,476,562,581,480,146,390,
股权分置流通权(万元),--,--,--,--,--,--,--,
递延所得税资产(万元),1806,2167,1453,1508,1357,1657,1373,
其他非流动资产(万元),3219,3282,17846,15596,4465,4264,3129,
非流动资产合计(万元),299789,301219,239332,215592,191870,164795,145567,
资产总计(万元),513755,484880,365161,345963,332942,291854,248568,
短期借款(万元),136158,127346,88806,94594,113446,96331,67803,
向中央银行借款(万元),--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,
应付票据(万元),13775,13082,14957,14638,9430,1450,--,
应付账款(万元),45753,51465,31748,25914,17107,22592,9876,
预收账款(万元),23858,8977,4665,2711,2997,4281,3344,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,
应付职工薪酬(万元),2463,4716,3117,2472,3179,2372,1443,
应交税费(万元),9513,12464,6681,933,3261,4073,5091,
应付利息(万元),243,176,107,197,352,324,165,
应付股利(万元),--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,
其他应付款(万元),294,468,10077,1355,30799,14277,57248,
预提费用(万元),--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),3500,3500,1100,1500,3400,3350,6000,
其他流动负债(万元),--,--,--,--,--,--,--,
流动负债合计(万元),235558,222196,161258,144315,183969,149049,150970,
长期借款(万元),11000,7000,1500,2000,3200,3900,6000,
应付债券(万元),--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,
长期递延收益(万元),22982,21176,7730,7806,7000,7256,7512,
递延所得税负债(万元),--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,
非流动负债合计(万元),33982,28176,9230,9806,10200,11156,13512,
负债合计(万元),269539,250372,170488,154120,194170,160206,164482,
实收资本(或股本)(万元),55000,55000,55000,55000,45000,45000,15000,
资本公积(万元),116773,116773,116779,118356,91779,1718,901,
减:库存股(万元),--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,
盈余公积(万元),6502,6502,2924,588,535,8588,6569,
一般风险准备(万元),--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,
未分配利润(万元),66044,56335,20030,17726,1189,73161,56806,
拟分配现金股利(万元),--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),244319,234610,194733,191669,138503,128467,79276,
少数股东权益(万元),-104,-102,-60,173,269,3182,4810,
所有者权益(或股东权益)合计(万元),244215,234508,194674,191842,138772,131649,84086,
负债和所有者权益(或股东权益)总计(万元),513755,484880,365161,345963,332942,291854,248568,		
