报告日期,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),780,26060,11661,4601,12298,
结算备付金(万元),--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,
交易性金融资产(万元),48,33,71,79,1,
衍生金融资产(万元),--,--,--,--,--,
应收票据(万元),31988,4570,4954,3399,10399,
应收账款(万元),51683,50075,42877,28887,35570,
预付款项(万元),138,24,37,308,316,
应收保费(万元),--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,
应收利息(万元),--,--,--,--,--,
应收股利(万元),--,--,--,--,--,
其他应收款(万元),4,26,40,48,100,
应收出口退税(万元), --,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,
存货(万元),38449,36736,27381,23257,24872,
待摊费用(万元),--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,
其他流动资产(万元),1161,--,561,--,5000,
流动资产合计(万元),124251,117524,87581,60579,88556,
发放贷款及垫款(万元),--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,
固定资产原值(万元),--,25520,23849,22682,--,
累计折旧(万元),--,14532,14154,12740,--,
固定资产净值(万元),--,10988,9695,9942,--,
固定资产减值准备(万元),--,--,--,--,--,
固定资产(万元),11202,10988,9695,9942,10492,
在建工程(万元),133,119,293,42,86,
工程物资(万元),--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,
油气资产(万元),--,--,--,--,--,
无形资产(万元),2488,2514,2618,2724,2830,
开发支出(万元),--,--,--,--,--,
商誉(万元),--,--,--,--,--,
长期待摊费用(万元),--,--,--,--,--,
股权分置流通权(万元),--,--,--,--,--,
递延所得税资产(万元),687,662,565,385,473,
其他非流动资产(万元),--,--,--,--,--,
非流动资产合计(万元),14510,14284,13171,13093,13882,
资产总计(万元),138761,131807,100752,73672,102438,
短期借款(万元),43200,9400,800,3000,29480,
向中央银行借款(万元),--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,
应付票据(万元),--,29000,22900,13000,20000,
应付账款(万元),8694,9900,10042,6689,4706,
预收账款(万元),598,218,1974,1264,1164,
卖出回购金融资产款(万元),--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,
应付职工薪酬(万元),682,1012,900,946,1250,
应交税费(万元),1143,2232,1816,768,1749,
应付利息(万元),60,12,1,4,49,
应付股利(万元),--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,
其他应付款(万元),116,191,216,929,2295,
预提费用(万元),--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,
递延收益(万元),--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,
流动负债合计(万元),54493,51965,38649,26599,60694,
长期借款(万元),--,--,--,--,--,
应付债券(万元),--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,
长期递延收益(万元),391,148,142,139,66,
递延所得税负债(万元),12,8,18,20,0,
其他非流动负债(万元),--,--,--,--,--,
非流动负债合计(万元),403,156,159,158,67,
负债合计(万元),54896,52121,38808,26758,60761,
实收资本(或股本)(万元),13380,13380,13380,12000,12000,
资本公积(万元),26699,26699,26699,20834,20834,
减:库存股(万元),--,--,--,--,--,
专项储备(万元),--,--,--,--,--,
盈余公积(万元),4321,4321,2546,1408,884,
一般风险准备(万元),--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,
未分配利润(万元),39464,35286,19318,12672,7959,
拟分配现金股利(万元),--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,
归属于母公司股东权益合计(万元),83865,79686,61944,46914,41677,
少数股东权益(万元),--,--,--,--,--,
所有者权益(或股东权益)合计(万元),83865,79686,61944,46914,41677,
负债和所有者权益(或股东权益)总计(万元),138761,131807,100752,73672,102438,		
