报告日期,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),32342,82012,28759,76131,70324,21178,61916,50562,39409,
营业收入(万元),32342,82012,28759,76131,70324,21178,61916,50562,39409,
利息收入(万元),--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,
营业总成本(万元),29469,71897,26079,67441,61249,18894,53928,43505,33499,
营业成本(万元),22418,56115,19875,52128,47700,14611,43605,33905,24936,
利息支出(万元),--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),46,100,67,136,112,15,113,124,73,
销售费用(万元),1448,2867,1254,3967,3933,1407,2692,1955,1708,
管理费用(万元),5596,12142,4493,10441,9413,2769,7007,6688,6303,
财务费用(万元),138,433,196,267,182,102,185,281,294,
资产减值损失(万元),-176,239,194,502,-92,-11,325,552,186,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,
投资收益(万元),--,--,--,--,--,--,--,--,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,
营业利润(万元),3117,10368,2680,8684,9011,2283,7988,7057,5910,
营业外收入(万元),5,58,142,827,618,123,512,501,619,
营业外支出(万元),--,5,7,5,5,1,70,--,--,
非流动资产处置损失(万元),--,--,7,--,--,--,70,--,--,
利润总额(万元),3122,10421,2814,9506,9625,2406,8429,7557,6530,
所得税费用(万元),404,1170,323,1127,1230,379,1307,1181,1024,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,
净利润(万元),2718,9252,2491,8379,8395,2026,7122,6376,5506,
归属于母公司所有者的净利润(万元),2718,9252,2491,8379,8395,2026,7122,6376,5506,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,
基本每股收益,0.34,1.16,0.31,1.05,1.05,0.25,0.89,0.91,0.79,
稀释每股收益,0.34,1.16,0.31,1.05,1.05,0.25,0.89,0.91,0.79,
