报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
营业总收入(万元),3321,14014,10524,7041,3320,13497,9499,6206,2729,12165,9454,6422,13398,12954,12410,9965,
营业收入(万元),3321,14014,10524,7041,3320,13497,9499,6205,2729,12165,9454,6422,13398,12954,12410,9965,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,1,--,--,--,--,--,--,--,--,
营业总成本(万元),2447,9618,6774,4420,2026,8714,5989,3834,1725,7925,5913,4000,9129,8756,8621,6485,
营业成本(万元),1799,6803,5102,3383,1563,6714,4690,3080,1362,6330,4924,3400,7579,6965,6868,5264,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),27,167,112,78,36,147,84,64,32,115,97,62,122,108,107,84,
销售费用(万元),115,381,250,163,66,316,221,143,70,307,211,140,344,304,241,179,
管理费用(万元),496,2212,1273,798,348,1489,931,505,238,1480,823,509,1357,1505,1357,1007,
财务费用(万元),4,-18,-13,-7,-9,-50,-29,-12,-5,-325,-224,-154,-290,-137,51,-22,
资产减值损失(万元),6,74,51,6,23,96,91,54,29,17,81,42,17,11,-3,-28,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),205,1014,701,399,87,553,318,231,11,--,--,--,--,--,--,42,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),1049,5978,4451,3019,1381,5337,3828,2603,1015,4240,3541,2422,4269,4198,3789,3522,
营业外收入(万元),149,331,656,442,13,317,160,115,109,180,125,2,136,202,195,59,
营业外支出(万元),2,1,0,0,--,0,--,--,--,1,--,--,--,1,1,5,
非流动资产处置损失(万元),--,--,0,0,--,--,--,--,--,--,--,--,--,--,--,0,
利润总额(万元),1195,6308,5106,3462,1394,5653,3988,2718,1123,4419,3667,2424,4404,4399,3982,3575,
所得税费用(万元),189,896,723,502,210,846,621,432,170,620,550,371,630,635,612,534,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),1006,5412,4384,2960,1184,4808,3366,2286,953,3799,3117,2054,3774,3764,3370,3041,
归属于母公司所有者的净利润(万元),990,5412,4384,2960,1184,4808,3366,2286,953,3799,3117,2054,3774,3764,3370,3041,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),16,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,0.14,0.77,0.63,0.42,0.17,0.82,0.62,0.44,0.18,0.72,0.59,0.39,0.72,0.72,0.64,0.59,
稀释每股收益,0.14,0.77,0.63,0.42,0.17,0.82,0.62,0.44,0.18,0.72,0.59,0.39,0.72,0.72,0.64,0.59,
