报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
营业总收入(万元),3961,20002,14061,8489,3063,18202,13146,16271,14985,10274,
营业收入(万元),3961,20002,14061,8489,3063,18202,13146,16271,14985,10274,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),3397,15745,11023,6755,2577,14548,10506,13219,12485,8310,
营业成本(万元),2350,10703,7421,4625,1843,9812,7258,9255,8774,5686,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),22,123,70,44,0,84,29,48,45,42,
销售费用(万元),135,1044,708,389,111,1019,686,836,927,548,
管理费用(万元),837,3631,2390,1512,628,3340,2219,2687,2345,1878,
财务费用(万元),-5,-13,-7,-6,-5,102,92,322,303,183,
资产减值损失(万元),58,257,441,191,--,191,222,71,91,-26,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,
投资收益(万元),47,--,--,--,--,37,31,--,7,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,
营业利润(万元),630,4459,3233,1767,486,3692,2670,3052,2506,1963,
营业外收入(万元),6,744,1,0,24,307,189,161,97,106,
营业外支出(万元),--,16,2,2,--,6,1,21,3,23,
非流动资产处置损失(万元),--,--,0,0,--,1,1,17,0,--,
利润总额(万元),636,5187,3232,1766,510,3993,2858,3192,2600,2046,
所得税费用(万元),96,713,467,243,61,570,401,461,375,273,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,
净利润(万元),539,4474,2765,1523,449,3423,2457,2731,2226,1774,
归属于母公司所有者的净利润(万元),539,4474,2765,1523,449,3423,2457,2731,2226,1775,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,-0,-1,
基本每股收益,0.07,0.73,0.46,0.25,0.07,0.57,0.41,0.64,--,--,
稀释每股收益,0.07,0.73,0.46,0.25,0.07,0.57,0.41,0.64,--,--,
