报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2010-12-31,
营业总收入(万元),95183,52294,31297,23170,3411,
营业收入(万元),95183,52294,31297,23170,3411,
利息收入(万元),--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,
营业总成本(万元),63230,42290,29553,22256,2697,
营业成本(万元),50831,33592,24074,18981,1830,
利息支出(万元),--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,
研发费用(万元),--,--,--,--,--,
退保金(万元),--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,
分保费用(万元),--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,
营业税金及附加(万元),1009,444,160,39,30,
销售费用(万元),2935,1783,1256,1057,192,
管理费用(万元),7225,5875,3439,2082,620,
财务费用(万元),190,322,321,-25,-79,
资产减值损失(万元),1039,273,303,122,106,
公允价值变动收益(万元),0,0,0,--,--,
投资收益(万元),0,0,0,0,--,
对联营企业和合营企业的投资收益(万元),0,0,0,0,--,
汇兑收益(万元),--,--,--,--,--,
期货损益(万元),--,--,--,--,--,
托管收益(万元),--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,
营业利润(万元),32542,10009,1742,915,714,
营业外收入(万元),141,327,1103,626,52,
营业外支出(万元),72,17,37,3,0,
非流动资产处置损失(万元),15,13,37,0,0,
利润总额(万元),32610,10320,2807,1538,765,
所得税费用(万元),4651,1487,433,194,99,
未确认投资损失(万元),--,--,--,--,--,
净利润(万元),27959,8832,2374,1343,666,
归属于母公司所有者的净利润(万元),27718,8904,2464,1343,666,
被合并方在合并前实现净利润(万元),--,-158,-200,--,--,
少数股东损益(万元),242,-71,-90,--,--,
基本每股收益,2.89,0.93,0.26,0.14,--,
稀释每股收益,2.89,0.93,0.26,0.14,--,
