报告日期,2018-03-31,2017-12-31,2016-12-31,2015-12-31,
营业总收入(万元),323926,1212756,1004028,833665,
营业收入(万元),--,--,--,--,
利息收入(万元),517507,1940034,1562000,1282874,
已赚保费(万元),--,--,--,--,
手续费及佣金收入(万元),36120,129170,99159,69602,
房地产销售收入(万元),--,--,--,--,
其他业务收入(万元),271,1251,956,1847,
营业总成本(万元),167613,711564,577002,481371,
营业成本(万元),--,--,--,--,
利息支出(万元),242431,828058,665776,554219,
手续费及佣金支出(万元),2465,19808,14585,12189,
房地产销售成本(万元),--,--,--,--,
研发费用(万元),--,--,--,--,
退保金(万元),--,--,--,--,
赔付支出净额(万元),--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,
保单红利支出(万元),--,--,--,--,
分保费用(万元),--,--,--,--,
其他业务成本(万元),--,--,--,--,
营业税金及附加(万元),3178,10976,33635,70949,
销售费用(万元),103403,408319,322062,260232,
管理费用(万元),--,--,--,--,
财务费用(万元),--,--,--,--,
资产减值损失(万元),61032,292269,221304,150191,
公允价值变动收益(万元),7162,8105,-5345,5925,
投资收益(万元),7689,-14938,19687,39921,
对联营企业和合营企业的投资收益(万元),--,--,--,--,
汇兑收益(万元),-417,-8420,8006,5795,
期货损益(万元),--,--,--,--,
托管收益(万元),--,--,--,--,
补贴收入(万元),--,--,--,--,
其他业务利润(万元),--,--,--,--,
营业利润(万元),156313,501192,427026,352293,
营业外收入(万元),75,1246,1536,2965,
营业外支出(万元),8,5419,3091,874,
非流动资产处置损失(万元),--,--,--,--,
利润总额(万元),156380,497019,425472,354384,
所得税费用(万元),30229,98519,100303,77573,
未确认投资损失(万元),--,--,--,--,
净利润(万元),126151,398501,325169,276811,
归属于母公司所有者的净利润(万元),123294,393071,319008,273202,
被合并方在合并前实现净利润(万元),--,--,--,--,
少数股东损益(万元),2857,5430,6161,3610,
基本每股收益,0.4,1.28,1.04,0.98,
稀释每股收益,0.4,1.28,1.04,0.98,
