报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2010-12-31,2009-12-31,2008-12-31,
营业总收入(万元),416339,285229,774058,546070,366647,237455,890035,608101,403062,911725,826175,743142,107746,52507,28459,
营业收入(万元),416339,285229,774058,546070,366647,237455,890035,608101,403062,911725,826175,743142,107746,52507,28459,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),267243,175536,522175,373323,255768,174287,570303,385040,251783,597505,600630,533884,86549,41279,25247,
营业成本(万元),212888,145861,403652,285973,194152,128687,445643,301452,195315,489603,503633,457757,74661,37340,23320,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),4480,3507,8088,5682,3705,2693,9636,6082,4145,8435,6232,6008,665,288,79,
销售费用(万元),47807,24707,107306,80548,55457,41488,107274,72801,49261,92115,85719,67980,9690,2948,1297,
管理费用(万元),4092,1940,6511,4551,2841,1384,6645,5176,3273,6097,5391,4916,1619,734,587,
财务费用(万元),-2030,-694,-201,-178,-157,-16,-146,-135,-94,-256,-886,-2836,-85,-23,-34,
资产减值损失(万元),6,215,-3180,-3254,-230,52,1251,-336,-117,1511,539,59,-1,-8,-2,
公允价值变动收益(万元),--,--,--,--,--,--,--,1,1,-1,--,--,--,--,--,
投资收益(万元),10946,7902,33580,17561,8851,5600,25039,21310,17268,18676,13231,1998,--,3,--,
对联营企业和合营企业的投资收益(万元),805,1351,372,38,-1631,--,84,122,8,-42,-12,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),175039,123584,307792,210758,133343,68951,344771,244371,168548,332896,238777,211256,21197,11231,3212,
营业外收入(万元),739,384,1178,1055,1002,433,22296,13274,4999,19079,5505,232,793,86,21,
营业外支出(万元),1553,10,978,1077,358,23,1493,578,58,2288,99,171,0,21,15,
非流动资产处置损失(万元),--,--,--,193,142,--,318,16,12,270,46,74,0,11,--,
利润总额(万元),174224,123958,307992,210735,133987,69362,365574,257068,173489,349686,244182,211317,21990,11296,3218,
所得税费用(万元),43409,30954,77004,53917,33958,17766,91505,66562,43448,87690,61128,53106,5498,2833,815,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),130815,93004,230988,156819,100029,51596,274069,190506,130040,261996,183054,158211,16492,8463,2403,
归属于母公司所有者的净利润(万元),130815,93004,230988,156819,100029,51596,274069,190506,130040,261996,183054,158211,16492,8463,2403,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
基本每股收益,1.77,1.83,4.67,3.17,2.02,1.04,5.54,3.85,2.63,5.29,3.7,3.2,1.94,1.06,0.3,
稀释每股收益,--,--,--,--,--,--,--,--,2.63,--,--,3.2,1.94,1.06,0.3,
