报告日期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),214176,776526,567788,176819,611613,488335,413978,
营业收入(万元),214176,776526,567788,176819,611613,488335,413978,
利息收入(万元),--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,
营业总成本(万元),179422,642878,450398,135510,482315,439631,347319,
营业成本(万元),130429,451679,325022,99623,362330,319620,261719,
利息支出(万元),--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,
营业税金及附加(万元),1026,2572,1645,504,1510,852,277,
销售费用(万元),7299,29151,20996,6771,20044,18581,13215,
管理费用(万元),26904,126933,90343,26361,103735,98682,69492,
财务费用(万元),13833,18446,11636,1811,-8395,-1238,1456,
资产减值损失(万元),-70,14096,755,441,3092,3134,1161,
公允价值变动收益(万元),414,68,68,673,-71,--,--,
投资收益(万元),-127,3979,3966,531,-257,28270,19538,
对联营企业和合营企业的投资收益(万元),-977,-4864,-4053,-1421,-4248,-2939,-2595,
汇兑收益(万元),--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,
营业利润(万元),36531,146059,121424,42513,128461,77168,86196,
营业外收入(万元),351,13598,17743,2604,10426,7154,11072,
营业外支出(万元),283,395,749,345,670,4187,399,
非流动资产处置损失(万元),--,--,598,310,--,--,336,
利润总额(万元),36599,159262,138418,44772,138218,80135,96869,
所得税费用(万元),6178,29590,26928,8778,26120,11757,16058,
未确认投资损失(万元),--,--,--,--,--,--,--,
净利润(万元),30422,129672,111490,35993,112097,68378,80812,
归属于母公司所有者的净利润(万元),29066,122709,106304,33687,97498,34897,46150,
被合并方在合并前实现净利润(万元),--,--,--,--,238,22275,--,
少数股东损益(万元),1356,6963,5186,2307,14599,33481,34661,
基本每股收益,0.31,1.31,1.13,0.36,1.08,0.39,0.51,
稀释每股收益,--,--,--,--,--,--,--,
