报告日期,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
营业总收入(万元),76552,34890,155710,72258,30784,121664,52097,116691,56345,97580,95179,77467,
营业收入(万元),76552,34890,155710,72258,30784,121664,52097,116691,56345,97580,95179,77467,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),70144,30285,139194,65083,26804,105042,45283,99214,48151,89420,86342,74383,
营业成本(万元),55511,24732,114239,53102,21931,85429,37279,79461,39337,72863,72326,62028,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),887,392,1612,763,289,712,310,893,502,796,443,156,
销售费用(万元),2820,1158,6910,3351,1403,5609,2497,5361,2332,4509,3975,2921,
管理费用(万元),7210,3195,12084,5596,2510,10320,4908,9769,4161,7549,7168,6898,
财务费用(万元),2211,523,2048,800,663,1901,123,2530,1675,3126,2081,1947,
资产减值损失(万元),1505,284,2302,1471,7,1071,167,1200,145,575,350,432,
公允价值变动收益(万元),--,--,--,--,--,--,21,-119,-119,119,--,--,
投资收益(万元),--,--,--,--,--,36,--,160,149,640,8,--,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,--,--,--,21,8,--,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),6809,4805,17985,7175,4053,16664,6835,17613,8225,8919,8845,3084,
营业外收入(万元),15,12,14,1044,1,1916,174,392,72,468,114,469,
营业外支出(万元),44,0,281,186,1,93,58,95,68,57,66,60,
非流动资产处置损失(万元),--,--,--,31,--,--,57,--,67,4,--,1,
利润总额(万元),6780,4817,17718,8032,4053,18488,6951,17911,8228,9329,8893,3493,
所得税费用(万元),772,641,2188,996,666,3018,1224,2857,1919,1445,1357,534,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),6008,4176,15530,7037,3387,15470,5727,15054,6309,7884,7536,2959,
归属于母公司所有者的净利润(万元),6008,4176,15530,7037,3387,15470,5727,15054,6309,7884,6777,3069,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),--,--,--,--,--,--,--,--,--,--,759,-110,
基本每股收益,0.33,0.25,0.94,0.43,0.21,0.94,0.35,0.96,0.42,0.55,--,0.22,
稀释每股收益,0.33,0.25,0.94,0.43,0.21,0.94,0.35,0.96,0.42,0.55,--,0.22,
