报告日期,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),108223,190094,87505,173268,156018,178816,
营业收入(万元),108223,190094,87505,173268,156018,178816,
利息收入(万元),--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,
营业总成本(万元),80651,151314,69529,137652,142316,161508,
营业成本(万元),66159,122370,55745,112113,103355,135206,
利息支出(万元),--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,
研发费用(万元),4344,--,3499,--,--,--,
退保金(万元),--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,
营业税金及附加(万元),512,1037,496,719,490,375,
销售费用(万元),4451,9419,4176,9207,9425,9305,
管理费用(万元),5074,15289,3763,14551,25620,14661,
财务费用(万元),68,2938,1469,349,2172,1715,
资产减值损失(万元),44,262,380,712,1254,246,
公允价值变动收益(万元),--,--,--,--,21,17,
投资收益(万元),--,--,--,5,-1077,1,
对联营企业和合营企业的投资收益(万元),--,--,--,--,--,--,
汇兑收益(万元),--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,
营业利润(万元),27610,39065,17972,35782,12767,17325,
营业外收入(万元),5,200,13,386,164,223,
营业外支出(万元),--,544,8,3295,1533,581,
非流动资产处置损失(万元),--,--,--,--,--,21,
利润总额(万元),27615,38721,17977,32873,11398,16967,
所得税费用(万元),4935,6455,2913,5794,4065,2391,
未确认投资损失(万元),--,--,--,--,--,--,
净利润(万元),22680,32265,15064,27079,7333,14576,
归属于母公司所有者的净利润(万元),22018,31487,14803,26273,7662,14428,
被合并方在合并前实现净利润(万元),--,--,--,--,9084,14240,
少数股东损益(万元),662,778,261,805,-328,148,
基本每股收益,0.42,0.6,0.28,0.52,--,--,
稀释每股收益,0.42,0.6,0.28,0.52,--,--,
