报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2015-03-31,2014-12-31,2013-12-31,
营业总收入(万元),38787,141770,72555,36345,114579,55568,87070,41085,19371,85455,71103,
营业收入(万元),38787,141770,72555,36345,114579,55568,87070,41085,19371,85455,71103,
利息收入(万元),--,--,--,--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,--,--,--,
营业总成本(万元),27000,108435,50297,25232,86486,41272,75861,34822,17492,79051,84170,
营业成本(万元),20956,84227,39879,19834,71256,33842,60731,28290,13870,66380,56663,
利息支出(万元),--,--,--,--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,--,--,--,
营业税金及附加(万元),295,865,431,227,752,269,538,258,130,476,317,
销售费用(万元),--,--,--,--,--,--,--,--,--,--,--,
管理费用(万元),1788,8950,3791,1800,7404,3204,6743,2909,1494,5867,6023,
财务费用(万元),2958,12179,6042,3038,8741,3927,6970,3342,1943,7557,8771,
资产减值损失(万元),1002,2214,155,333,-1666,29,879,23,54,-1228,12396,
公允价值变动收益(万元),--,--,--,--,--,--,--,--,--,--,--,
投资收益(万元),-332,-912,-1561,-721,-919,-477,832,-202,-205,11408,10132,
对联营企业和合营企业的投资收益(万元),-332,-912,-1561,-721,-919,-477,832,--,-205,489,592,
汇兑收益(万元),--,--,--,--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,--,--,--,
营业利润(万元),12338,36276,22741,10392,26944,13819,12042,6062,1675,17812,-2936,
营业外收入(万元),331,337,208,1189,5859,2711,4577,2301,1120,4789,4041,
营业外支出(万元),33,73,24,15,118,71,47,11,8,398,63,
非流动资产处置损失(万元),--,--,1,--,--,57,--,1,--,318,--,
利润总额(万元),12637,36539,22925,11566,32685,16459,16571,8353,2787,22203,1042,
所得税费用(万元),918,623,574,71,229,597,416,114,31,90,27,
未确认投资损失(万元),--,--,--,--,--,--,--,--,--,--,--,
净利润(万元),11719,35917,22351,11495,32455,15861,16156,8238,2756,22114,1015,
归属于母公司所有者的净利润(万元),10338,31177,19512,10021,29225,14542,14223,6835,2247,20046,1463,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,--,--,--,
少数股东损益(万元),1381,4740,2839,1474,3230,1319,1933,1403,509,2068,-449,
基本每股收益,0.21,0.62,0.39,0.2,0.58,0.29,0.36,0.17,0.07,0.69,0.05,
稀释每股收益,--,0.62,--,--,0.58,0.29,0.36,0.17,0.07,0.69,0.05,
