报告日期,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
营业总收入(万元),511946,250600,920040,433367,200196,708943,641762,669021,
营业收入(万元),511946,250600,920040,433367,200196,708943,641762,669021,
利息收入(万元),--,--,--,--,--,--,--,--,
已赚保费(万元),--,--,--,--,--,--,--,--,
手续费及佣金收入(万元),--,--,--,--,--,--,--,--,
房地产销售收入(万元),--,--,--,--,--,--,--,--,
其他业务收入(万元),--,--,--,--,--,--,--,--,
营业总成本(万元),498002,243195,887225,421540,195875,669148,626047,657632,
营业成本(万元),466573,225763,830406,392141,182083,627258,579540,602340,
利息支出(万元),--,--,--,--,--,--,--,--,
手续费及佣金支出(万元),--,--,--,--,--,--,--,--,
房地产销售成本(万元),--,--,--,--,--,--,--,--,
研发费用(万元),--,--,--,--,--,--,--,--,
退保金(万元),--,--,--,--,--,--,--,--,
赔付支出净额(万元),--,--,--,--,--,--,--,--,
提取保险合同准备金净额(万元),--,--,--,--,--,--,--,--,
保单红利支出(万元),--,--,--,--,--,--,--,--,
分保费用(万元),--,--,--,--,--,--,--,--,
其他业务成本(万元),--,--,--,--,--,--,--,--,
营业税金及附加(万元),1783,856,2877,1453,675,2309,1569,950,
销售费用(万元),12803,5320,21517,10809,4560,18881,17801,17346,
管理费用(万元),6520,3220,13421,6951,3190,12843,11810,11101,
财务费用(万元),7964,6545,18260,9119,4736,7936,16191,25103,
资产减值损失(万元),2360,1492,745,1067,631,-79,-864,793,
公允价值变动收益(万元),-31,149,155,690,122,-832,-477,-279,
投资收益(万元),-2879,-761,-178,-478,981,-504,4881,-29,
对联营企业和合营企业的投资收益(万元),-1600,-321,-1284,-608,-227,-435,-421,-234,
汇兑收益(万元),--,--,--,--,--,--,--,--,
期货损益(万元),--,--,--,--,--,--,--,--,
托管收益(万元),--,--,--,--,--,--,--,--,
补贴收入(万元),--,--,--,--,--,--,--,--,
其他业务利润(万元),--,--,--,--,--,--,--,--,
营业利润(万元),13040,6793,33680,12469,5424,38329,20119,11082,
营业外收入(万元),72,398,290,169,531,2349,1126,2024,
营业外支出(万元),25,28,136,385,40,552,1323,777,
非流动资产处置损失(万元),--,--,--,249,--,--,--,--,
利润总额(万元),13087,7163,33834,12253,5914,40126,19923,12329,
所得税费用(万元),2546,1238,5847,2525,1242,6310,3472,3320,
未确认投资损失(万元),--,--,--,--,--,--,--,--,
净利润(万元),10540,5925,27988,9729,4672,33816,16451,9009,
归属于母公司所有者的净利润(万元),10340,5906,27281,9471,4544,33390,16128,8828,
被合并方在合并前实现净利润(万元),--,--,--,--,--,--,--,--,
少数股东损益(万元),200,19,707,257,129,426,323,180,
基本每股收益,0.27,0.16,0.75,0.26,0.09,0.91,0.5,0.27,
稀释每股收益,0.27,0.16,0.75,0.26,0.09,0.91,0.5,0.27,
