 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),20575,85666,55217,17411,79507,51935,73977,75216,60680, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),576,2309,1529,284,1654,1300,966,1926,1305, 
 收到的其他与经营活动有关的现金(万元),890,1034,733,263,1656,917,7723,5681,1613, 
 经营活动现金流入小计(万元),22041,89008,57479,17958,82817,54152,82667,82823,63598, 
 购买商品、接受劳务支付的现金(万元),14520,53486,33685,12209,42299,30218,39984,44978,35480, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),4952,15451,10785,4298,14738,10316,14227,11707,9653, 
 支付的各项税费(万元),1034,3640,2787,1153,5417,3178,4518,3269,2202, 
 支付的其他与经营活动有关的现金(万元),2529,10740,9910,2038,11236,8027,11095,12628,13861, 
