 报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),30145,146842,103027,71357,40133,133502,65692,95965,82284,77079, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),270,2011,1970,1990,--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),226,2323,1803,1762,783,405,547,340,142,4393, 
 经营活动现金流入小计(万元),30641,151175,106801,75109,40917,133907,66239,96304,82426,81472, 
 购买商品、接受劳务支付的现金(万元),12360,45484,34123,21838,12798,42727,24779,26013,25724,24945, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),14183,55419,40221,25336,13076,44841,21910,41369,32898,27610, 
 支付的各项税费(万元),3081,15664,10814,6587,4522,17714,9078,12304,10017,6242, 
 支付的其他与经营活动有关的现金(万元),2012,6163,5307,3633,3539,13879,5840,6031,3299,2060, 
 经营活动现金流出小计(万元),31636,122730,90465,57394,33935,119161,61607,85716,71938,60856, 
 经营活动产生的现金流量净额(万元),-996,28446,16336,17715,6981,14746,4632,10588,10488,20616, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,32,70,52,1976,1946,196,271,60, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),331,687,529,320,164,389,66,120,490,161, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,56985,39600,20900,--,34300,13900,49162,49500,26978, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),331,57672,40161,21291,216,36665,15912,49477,50261,27199, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5844,24747,18172,12684,6526,19731,9107,9879,7497,6651, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,0,--,--, 
 支付的其他与投资活动有关的现金(万元),--,57044,45100,31500,--,34300,13900,26200,72462,26978, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),5844,81790,63272,44184,6526,54031,23007,36079,79959,33629, 
 投资活动产生的现金流量净额(万元),-5512,-24119,-23110,-22894,-6310,-17365,-7095,13398,-29698,-6430, 
 吸收投资收到的现金(万元),--,82925,--,--,--,8124,8124,2793,--,250, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),--,5011,4067,2161,--,1000,1000,7146,19283,33139, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),500,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流入小计(万元),500,87936,4067,2161,0,9124,9124,9939,19283,33389, 
 偿还债务支付的现金(万元),624,10369,6511,2667,2667,3435,1554,21170,6272,37619, 
 分配股利、利润或偿付利息所支付的现金(万元),30,596,557,515,674,528,4173,5446,2616,2500, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--, 
 筹资活动现金流出小计(万元),654,10965,7069,3182,3340,3963,5727,26616,8888,40119, 
 筹资活动产生的现金流量净额(万元),-154,76970,-3002,-1021,-3340,5161,3397,-16677,10395,-6730, 
 汇率变动对现金及现金等价物的影响(万元),-214,239,-362,-113,-326,-206,801,845,67,--, 
 现金及现金等价物净增加额(万元),-6876,81536,-10138,-6313,-2995,2335,1735,8154,-8747,7455, 
 加:期初现金及现金等价物余额(万元),94736,13200,13200,13200,13200,10865,10865,2711,11458,4003, 
