 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),256165,1887291,670119,340453,1152466,415374,73281, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--, 
 收到的税费返还(万元),13660,2101,631,1324,148,67,417, 
 收到的其他与经营活动有关的现金(万元),21151,52918,23637,36251,42152,22117,1135, 
 经营活动现金流入小计(万元),290977,1942310,694387,378027,1194766,437559,74832, 
 购买商品、接受劳务支付的现金(万元),489997,1235759,568082,272224,595492,230213,60101, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),45166,212264,95474,36985,124967,43755,9842, 
 支付的各项税费(万元),33910,149330,54434,23887,155989,47455,2869, 
 支付的其他与经营活动有关的现金(万元),48887,110882,38361,25558,107406,49681,15911, 
 经营活动现金流出小计(万元),617960,1708235,756352,358654,983854,371105,88723, 
 经营活动产生的现金流量净额(万元),-326983,234075,-61964,19373,210913,66453,-13890, 
 收回投资所收到的现金(万元),--,44800,44550,--,1003,--,--, 
 取得投资收益所收到的现金(万元),--,257,112,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),--,57,57,--,505,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),422021,75883,19881,5162,6194,108857,318, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),422021,120997,64600,5162,7702,108857,318, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),166761,718028,397875,245911,280082,155379,30053, 
 投资所支付的现金(万元),--,166550,65193,21920,26283,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,17323,--, 
 支付的其他与投资活动有关的现金(万元),15193,0,153432,150114,944178,290,97606, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),181954,884579,616500,417945,1250543,172991,127659, 
 投资活动产生的现金流量净额(万元),240067,-763581,-551900,-412783,-1242841,-64135,-127341, 
 吸收投资收到的现金(万元),1919,617865,508350,351000,1113185,15050,2440, 
 其中：子公司吸收少数股东投资收到的现金(万元),1919,116865,7350,--,784,50,2440, 
 取得借款收到的现金(万元),99774,447677,151591,41391,193065,83087,20164, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),2070,903,--,6631,74735,89337,155656, 
 筹资活动现金流入小计(万元),103762,1066444,659941,399022,1380985,187474,178260, 
 偿还债务支付的现金(万元),105257,142163,110978,96980,93731,62864,476, 
 分配股利、利润或偿付利息所支付的现金(万元),4297,8160,2578,1286,5370,6950,475, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),6647,22848,18440,7533,184782,73670,30757, 
 筹资活动现金流出小计(万元),116201,173171,131996,105799,283883,143484,31709, 
 筹资活动产生的现金流量净额(万元),-12439,893273,527946,293223,1097102,43990,146551, 
 汇率变动对现金及现金等价物的影响(万元),-1318,-1376,291,-35,-208,-80,-500, 
 现金及现金等价物净增加额(万元),-100674,362390,-85628,-100222,64966,46229,4820, 
 加:期初现金及现金等价物余额(万元),478991,116600,116600,116600,51634,5405,585, 
 期末现金及现金等价物余额(万元),378316,478991,30972,16378,116600,51634,5405, 
