 报告日期,2017-12-31,2016-12-31,2015-12-31, 
 销售商品、提供劳务收到的现金(万元),32263254,27276498,27589084, 
 客户存款和同业存放款项净增加额(万元),--,--,--, 
 向中央银行借款净增加额(万元,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--, 
 收到再保险业务现金净额(万元),--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--, 
 拆入资金净增加额(万元),--,--,--, 
 回购业务资金净增加额(万元),--,--,--, 
 收到的税费返还(万元),229319,250132,145760, 
 收到的其他与经营活动有关的现金(万元),71182,52943,51193, 
 经营活动现金流入小计(万元),32563755,27579573,27786036, 
 购买商品、接受劳务支付的现金(万元),28364513,22414516,23907510, 
 客户贷款及垫款净增加额(万元),--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--, 
 支付保单红利的现金(万元),--,--,--, 
 支付给职工以及为职工支付的现金(万元),2203227,1935299,1974801, 
 支付的各项税费(万元),494489,497734,408419, 
 支付的其他与经营活动有关的现金(万元),650146,636249,637402, 
 经营活动现金流出小计(万元),31712374,25483798,26928132, 
 经营活动产生的现金流量净额(万元),851381,2095775,857905, 
 收回投资所收到的现金(万元),375000,270000,157000, 
 取得投资收益所收到的现金(万元),1316,1585,1454, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),16580,21401,99042, 
 处置子公司及其他营业单位收到的现金净额(万元),--,1366,--, 
 收到的其他与投资活动有关的现金(万元),12638,120922,182600, 
 减少质押和定期存款所收到的现金(万元),--,--,--, 
 投资活动现金流入小计(万元),405534,415274,440096, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),93566,317630,285516, 
 投资所支付的现金(万元),400000,318896,157994, 
 质押贷款净增加额(万元),--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),12852,--,2386, 
 支付的其他与投资活动有关的现金(万元),135822,12703,197627, 
 增加质押和定期存款所支付的现金(万元),--,--,--, 
 投资活动现金流出小计(万元),642240,649229,643523, 
 投资活动产生的现金流量净额(万元),-236706,-233956,-203427, 
 吸收投资收到的现金(万元),223392,90520,146960, 
 其中：子公司吸收少数股东投资收到的现金(万元),131621,17531,2000, 
 取得借款收到的现金(万元),2654555,1400013,1652984, 
 发行债券收到的现金(万元),--,--,--, 
 收到其他与筹资活动有关的现金(万元),180756,210040,419493, 
 筹资活动现金流入小计(万元),3058702,1700573,2219437, 
 偿还债务支付的现金(万元),1996089,1346901,1761862, 
 分配股利、利润或偿付利息所支付的现金(万元),195791,36808,40087, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--, 
 支付其他与筹资活动有关的现金(万元),508233,2564398,878286, 
 筹资活动现金流出小计(万元),2700113,3948107,2680235, 
 筹资活动产生的现金流量净额(万元),358590,-2247534,-460798, 
 汇率变动对现金及现金等价物的影响(万元),-38428,30101,29982, 
 现金及现金等价物净增加额(万元),934837,-355614,223662, 
 加:期初现金及现金等价物余额(万元),483689,839303,615642, 
 期末现金及现金等价物余额(万元),1418526,483689,839303, 
 净利润(万元),1621993,1439018,1435011, 
 少数股东损益(万元),--,--,--, 
 未确认的投资损失(万元),--,--,--, 
 资产减值准备(万元),77043,31322,76561, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),368602,338978,306649, 
 无形资产摊销(万元),--,--,--, 
 长期待摊费用摊销(万元),--,--,--, 
 待摊费用的减少(万元),--,--,--, 
 预提费用的增加(万元),--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),4289,4229,-6214, 
 固定资产报废损失(万元),--,--,--, 
 公允价值变动损失(万元),--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--, 
 预计负债(万元),--,--,--, 
 财务费用(万元),10452,6133,9784, 
 投资损失(万元),-1810,498,-959, 
 递延所得税资产减少(万元),-27820,-14392,-27719, 
 递延所得税负债增加(万元),87,13,-3978, 
 存货的减少(万元),-747714,-144798,-397574, 
 经营性应收项目的减少(万元),-4601566,-440048,-123146, 
 经营性应付项目的增加(万元),4147825,874823,-410510, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--, 
 其他(万元),--,--,--, 
 经营活动产生现金流量净额(万元),851381,2095775,857905, 
 债务转为资本(万元),--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--, 
 融资租入固定资产(万元),--,--,--, 
 现金的期末余额(万元),1418526,483689,839303, 
 现金的期初余额(万元),483689,839303,615642, 
 现金等价物的期末余额(万元),--,--,--, 
 现金等价物的期初余额(万元),--,--,--, 
 现金及现金等价物的净增加额(万元),934837,-355614,223662, 

