 报告日期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),157305,853852,64099,610459,505352,465775, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--, 
 收到的税费返还(万元),--,--,--,--,--,--, 
 收到的其他与经营活动有关的现金(万元),1313,12687,4281,28538,4400,2502, 
 经营活动现金流入小计(万元),158617,866539,68380,638997,509753,468276, 
 购买商品、接受劳务支付的现金(万元),130460,543212,51163,408713,372675,384581, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),37372,81587,30668,54980,46862,36118, 
 支付的各项税费(万元),13129,41755,5456,27076,21537,17613, 
 支付的其他与经营活动有关的现金(万元),4240,26198,2778,17506,13352,7326, 
 经营活动现金流出小计(万元),185202,692752,90064,508275,454425,445639, 
 经营活动产生的现金流量净额(万元),-26584,173787,-21685,130722,55328,22637, 
 收回投资所收到的现金(万元),--,--,--,1950,--,--, 
 取得投资收益所收到的现金(万元),1830,7927,1832,5568,4416,3740, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),726,138,153,725,2,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,1422,--, 
 收到的其他与投资活动有关的现金(万元),20715,--,6128,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,20500,--,--,--,--, 
