 报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),134939,124889,135497,126452, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--, 
 收到的税费返还(万元),63,74,90,215, 
 收到的其他与经营活动有关的现金(万元),875,742,633,613, 
 经营活动现金流入小计(万元),135877,125704,136219,127280, 
 购买商品、接受劳务支付的现金(万元),109287,91842,111337,106274, 
 客户贷款及垫款净增加额(万元),--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),6050,5009,4576,4175, 
 支付的各项税费(万元),5910,6211,4691,3325, 
 支付的其他与经营活动有关的现金(万元),2973,3212,2487,2143, 
 经营活动现金流出小计(万元),124219,106274,123092,115917, 
 经营活动产生的现金流量净额(万元),11658,19430,13128,11363, 
 收回投资所收到的现金(万元),58150,112010,81930,20780, 
 取得投资收益所收到的现金(万元),205,290,65,34, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2707,--,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,60,60, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--, 
 投资活动现金流入小计(万元),61062,112300,82055,20874, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5404,1888,620,2033, 
 投资所支付的现金(万元),39400,123660,87612,23020, 
 质押贷款净增加额(万元),--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),382,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,215,201,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--, 
 投资活动现金流出小计(万元),45186,125763,88434,25053, 
 投资活动产生的现金流量净额(万元),15877,-13463,-6379,-4179, 
 吸收投资收到的现金(万元),--,--,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--, 
 取得借款收到的现金(万元),8100,10100,11100,16670, 
 发行债券收到的现金(万元),--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),20335,14299,23152,19864, 
 筹资活动现金流入小计(万元),28435,24399,34252,36534, 
 偿还债务支付的现金(万元),10100,10100,13370,23110, 
 分配股利、利润或偿付利息所支付的现金(万元),4374,7915,3751,935, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),25297,16415,19439,20989, 
 筹资活动现金流出小计(万元),39770,34429,36561,45034, 
 筹资活动产生的现金流量净额(万元),-11336,-10030,-2309,-8499, 
 汇率变动对现金及现金等价物的影响(万元),-137,104,18,0, 
 现金及现金等价物净增加额(万元),16062,-3959,4458,-1314, 
 加:期初现金及现金等价物余额(万元),5592,9552,5094,6408, 
 期末现金及现金等价物余额(万元),21654,5592,9552,5094, 
 净利润(万元),11020,9795,2887,--, 
 少数股东损益(万元),129,81,51,--, 
 未确认的投资损失(万元),--,--,--,--, 
 资产减值准备(万元),-149,1065,276,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),1746,1629,1659,--, 
 无形资产摊销(万元),73,71,59,--, 
 长期待摊费用摊销(万元),70,86,68,--, 
 待摊费用的减少(万元),--,--,--,--, 
 预提费用的增加(万元),--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-1120,-4,--,--, 
 固定资产报废损失(万元),--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--, 
 预计负债(万元),--,--,--,--, 
 财务费用(万元),508,357,777,--, 
 投资损失(万元),-205,-290,-65,--, 
 递延所得税资产减少(万元),14,-106,314,--, 
 递延所得税负债增加(万元),--,--,--,--, 
 存货的减少(万元),-1481,-2659,-84,--, 
 经营性应收项目的减少(万元),10,1087,25113,--, 
 经营性应付项目的增加(万元),1194,8359,-21828,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--, 
 其他(万元),-152,-41,3901,--, 
 经营活动产生现金流量净额(万元),11658,19430,13128,--, 
 债务转为资本(万元),--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--, 
 现金的期末余额(万元),21654,5592,9552,5094, 
 现金的期初余额(万元),5592,9552,5094,6408, 
 现金等价物的期末余额(万元),--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--, 
 现金及现金等价物的净增加额(万元),16062,-3959,4458,-1314, 

