 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31, 
 销售商品、提供劳务收到的现金(万元),72256,38692,137846,62416,30347,118817,55875,115796,55292,105447,95875,71931, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),1386,429,3298,1385,760,6302,2195,3045,1041,2276,5272,5754, 
 收到的其他与经营活动有关的现金(万元),1650,190,2226,1494,388,2673,340,756,2102,402,160,1815, 
 经营活动现金流入小计(万元),75292,39312,143370,65295,31495,127793,58410,119597,58435,108125,101307,79500, 
 购买商品、接受劳务支付的现金(万元),46782,23187,78171,36061,17266,61609,28253,67298,31776,65329,65960,50731, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),12445,5789,24262,11569,5275,20470,10319,17966,8216,15958,12810,10957, 
 支付的各项税费(万元),4332,2772,7990,3222,1957,4642,2711,5565,3915,2887,2200,1850, 
 支付的其他与经营活动有关的现金(万元),6465,2430,10191,4800,2556,8876,4816,9113,4320,10133,7954,6652, 
 经营活动现金流出小计(万元),70024,34179,120614,55653,27054,95598,46099,99941,48227,94307,88923,70191, 
 经营活动产生的现金流量净额(万元),5268,5133,22756,9642,4441,32194,12311,19656,10208,13818,12384,9309, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,--,33,--,--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),69,46,12,0,--,2,2,41,20,804,30,2952, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,1000,--,1000,--,--, 
 收到的其他与投资活动有关的现金(万元),1000,1000,--,389,--,374,--,--,--,191,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),1069,1046,12,389,0,409,2,1041,20,1995,30,2952, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),25161,8849,35684,20728,9543,58732,23617,20074,5947,11111,7857,15703, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,2461,--,1538,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,79,7286, 
 支付的其他与投资活动有关的现金(万元),--,--,1000,--,--,1037,387,--,--,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),25161,8849,36684,20728,9543,59768,24004,20074,8408,11111,9474,22989, 
 投资活动产生的现金流量净额(万元),-24092,-7803,-36672,-20338,-9543,-59359,-24002,-19034,-8388,-9116,-9444,-20037, 
 吸收投资收到的现金(万元),79887,--,--,--,--,--,--,30000,--,1325,--,--, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 取得借款收到的现金(万元),16439,12950,67829,31992,11423,40284,13960,35433,25649,56912,58486,49621, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),--,--,3724,3587,--,2307,--,579,324,--,--,--, 
 筹资活动现金流入小计(万元),96326,12950,71553,35579,11423,42591,13960,66012,25973,58237,58486,49621, 
