 报告日期,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2015-03-31,2014-12-31,2013-12-31, 
 销售商品、提供劳务收到的现金(万元),25315,140477,70950,28488,113986,49686,98363,39088,17364,112773,101900, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),754,3560,1708,893,4331,1841,5347,1507,922,5895,2852, 
 收到的其他与经营活动有关的现金(万元),606,1916,1068,462,10399,2153,4772,1543,512,2553,5305, 
 经营活动现金流入小计(万元),26676,145953,73725,29844,128716,53680,108483,42138,18798,121220,110057, 
 购买商品、接受劳务支付的现金(万元),12517,52687,25105,11236,46808,21413,49121,25814,14660,70499,52234, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),2752,10124,4129,2212,8577,3573,7259,3055,1565,6150,5594, 
 支付的各项税费(万元),1409,5421,2831,1426,5588,2780,6228,2837,1326,5748,5085, 
 支付的其他与经营活动有关的现金(万元),587,4084,1534,1059,3082,1018,2430,1300,666,2596,2717, 
 经营活动现金流出小计(万元),17265,72316,33599,15933,64055,28784,65038,33005,18217,84993,65630, 
 经营活动产生的现金流量净额(万元),9411,73637,40126,13911,64661,24896,43445,9133,581,36227,44427, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),--,--,--,--,280,--,175,--,--,11079,9540, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),6,33,5,4,11,1,44,29,--,91,25, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),6,33,5,4,291,1,219,29,0,11170,9565, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),9206,63750,36396,15013,137731,61088,136445,71430,42082,87322,38057, 
 投资所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--,--,--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,--,--,--,240,--,--,--, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--,--,--,--, 
