 报告日期,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),52799,24836,36725,38889,35850, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--, 
 收到的税费返还(万元),--,--,30,2,--, 
 收到的其他与经营活动有关的现金(万元),2635,1318,8178,2655,41409, 
 经营活动现金流入小计(万元),55434,26154,44933,41545,77260, 
 购买商品、接受劳务支付的现金(万元),27387,18594,26606,18705,16675, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),3793,2227,3537,3346,2688, 
 支付的各项税费(万元),5533,3984,4150,4435,4665, 
 支付的其他与经营活动有关的现金(万元),1880,848,2541,5782,32928, 
 经营活动现金流出小计(万元),38592,25653,36834,32268,56957, 
 经营活动产生的现金流量净额(万元),16842,501,8099,9277,20303, 
 收回投资所收到的现金(万元),17650,11250,26700,35110,17100, 
 取得投资收益所收到的现金(万元),226,213,212,126,82, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2,2,3,--,--, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--, 
 收到的其他与投资活动有关的现金(万元),--,--,--,--,--, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--, 
 投资活动现金流入小计(万元),17878,11465,26914,35236,17182, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),11655,3603,7702,1736,1734, 
 投资所支付的现金(万元),12300,4230,25775,41710,22900, 
 质押贷款净增加额(万元),--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),--,--,--,--,--, 
 支付的其他与投资活动有关的现金(万元),--,--,--,--,5143, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--, 
 投资活动现金流出小计(万元),23955,7833,33477,43446,29777, 
 投资活动产生的现金流量净额(万元),-6077,3632,-6563,-8210,-12595, 
 吸收投资收到的现金(万元),--,--,--,3305,500, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,--,--,--, 
 取得借款收到的现金(万元),--,--,--,--,10500, 
 发行债券收到的现金(万元),--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),481,--,--,--,--, 
 筹资活动现金流入小计(万元),481,0,0,3305,11000, 
 偿还债务支付的现金(万元),--,--,--,4000,12525, 
 分配股利、利润或偿付利息所支付的现金(万元),3600,3128,3601,54,3027, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,243, 
 支付其他与筹资活动有关的现金(万元),--,--,--,--,160, 
 筹资活动现金流出小计(万元),3600,3128,3601,4054,15712, 
 筹资活动产生的现金流量净额(万元),-3119,-3128,-3601,-749,-4712, 
 汇率变动对现金及现金等价物的影响(万元),--,--,--,--,--, 
 现金及现金等价物净增加额(万元),7645,1005,-2065,317,2997, 
 加:期初现金及现金等价物余额(万元),4334,4334,6399,6082,3085, 
 期末现金及现金等价物余额(万元),11980,5339,4334,6399,6082, 
 净利润(万元),9657,--,14297,9501,--, 
 少数股东损益(万元),--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--, 
 资产减值准备(万元),230,--,5,-145,--, 
 固定资产折旧、油气资产折耗、生产性物资折旧(万元),2870,--,1853,1732,--, 
 无形资产摊销(万元),233,--,209,157,--, 
 长期待摊费用摊销(万元),--,--,--,--,--, 
 待摊费用的减少(万元),--,--,--,--,--, 
 预提费用的增加(万元),--,--,--,--,--, 
 处置固定资产、无形资产和其他长期资产的损失(万元),-0,--,-7,2,--, 
 固定资产报废损失(万元),8,--,--,--,--, 
 公允价值变动损失(万元),--,--,--,--,--, 
 递延收益增加(减：减少)(万元),--,--,--,--,--, 
 预计负债(万元),--,--,--,--,--, 
 财务费用(万元),--,--,--,24,--, 
 投资损失(万元),-138,--,-109,-67,--, 
 递延所得税资产减少(万元),-243,--,-471,80,--, 
 递延所得税负债增加(万元),--,--,--,--,--, 
 存货的减少(万元),-442,--,-692,1056,--, 
 经营性应收项目的减少(万元),917,--,-2032,-1891,--, 
 经营性应付项目的增加(万元),3608,--,-4975,-3404,--, 
 已完工尚未结算款的减少(减:增加)(万元),--,--,--,--,--, 
 已结算尚未完工款的增加(减:减少)(万元),--,--,--,--,--, 
 其他(万元),143,--,21,34,--, 
 经营活动产生现金流量净额(万元),16842,--,8099,9277,--, 
 债务转为资本(万元),--,--,--,--,--, 
 一年内到期的可转换公司债券(万元),--,--,--,--,--, 
 融资租入固定资产(万元),--,--,--,--,--, 
 现金的期末余额(万元),11980,5339,4334,6399,6082, 
 现金的期初余额(万元),4334,4334,6399,6082,3085, 
 现金等价物的期末余额(万元),--,--,--,--,--, 
 现金等价物的期初余额(万元),--,--,--,--,--, 
 现金及现金等价物的净增加额(万元),7645,1005,-2065,317,2997, 

