 报告日期,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31, 
 销售商品、提供劳务收到的现金(万元),75691,37488,133116,58137,26796,91921,58717,47328, 
 客户存款和同业存放款项净增加额(万元),--,--,--,--,--,--,--,--, 
 向中央银行借款净增加额(万元,--,--,--,--,--,--,--,--, 
 向其他金融机构拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到原保险合同保费取得的现金(万元),--,--,--,--,--,--,--,--, 
 收到再保险业务现金净额(万元),--,--,--,--,--,--,--,--, 
 保户储金及投资款净增加额(万元),--,--,--,--,--,--,--,--, 
 处置交易性金融资产净增加额(万元),--,--,--,--,--,--,--,--, 
 收取利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 拆入资金净增加额(万元),--,--,--,--,--,--,--,--, 
 回购业务资金净增加额(万元),--,--,--,--,--,--,--,--, 
 收到的税费返还(万元),258,--,246,--,--,222,152,164, 
 收到的其他与经营活动有关的现金(万元),15589,164,1470,765,684,634,926,300, 
 经营活动现金流入小计(万元),91537,37651,134832,58902,27480,92778,59795,47792, 
 购买商品、接受劳务支付的现金(万元),57702,32760,96317,46319,24025,71622,43574,34001, 
 客户贷款及垫款净增加额(万元),--,--,--,--,--,--,--,--, 
 存放中央银行和同业款项净增加额(万元),--,--,--,--,--,--,--,--, 
 支付原保险合同赔付款项的现金(万元),--,--,--,--,--,--,--,--, 
 支付利息、手续费及佣金的现金(万元),--,--,--,--,--,--,--,--, 
 支付保单红利的现金(万元),--,--,--,--,--,--,--,--, 
 支付给职工以及为职工支付的现金(万元),7988,3828,12958,6253,3195,10083,5564,4150, 
 支付的各项税费(万元),3801,1264,5319,3190,814,3537,3161,1739, 
 支付的其他与经营活动有关的现金(万元),21095,1600,5894,2741,364,6016,4074,2685, 
 经营活动现金流出小计(万元),90586,39452,120488,58504,28398,91257,56374,42575, 
 经营活动产生的现金流量净额(万元),952,-1800,14344,398,-918,1520,3421,5217, 
 收回投资所收到的现金(万元),--,--,--,--,--,--,--,--, 
 取得投资收益所收到的现金(万元),67,55,194,74,33,2562,231,28, 
 处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),72,3,989,946,23,73,0,40, 
 处置子公司及其他营业单位收到的现金净额(万元),--,--,--,--,--,1792,--,--, 
 收到的其他与投资活动有关的现金(万元),19051,15051,50039,22700,10500,27400,60000,4900, 
 减少质押和定期存款所收到的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流入小计(万元),19190,15109,51221,23720,10556,31827,60231,4967, 
 购建固定资产、无形资产和其他长期资产所支付的现金(万元),5660,3823,11963,3989,1365,5684,3366,2396, 
 投资所支付的现金(万元),45,--,--,--,--,--,4002,--, 
 质押贷款净增加额(万元),--,--,--,--,--,--,--,--, 
 取得子公司及其他营业单位支付的现金净额(万元),30,--,3303,--,--,4899,2019,--, 
 支付的其他与投资活动有关的现金(万元),19605,10000,51090,19700,7500,32300,59827,7220, 
 增加质押和定期存款所支付的现金(万元),--,--,--,--,--,--,--,--, 
 投资活动现金流出小计(万元),25340,13823,66357,23689,8865,42883,69214,9617, 
 投资活动产生的现金流量净额(万元),-6150,1286,-15136,32,1691,-11056,-8984,-4649, 
 吸收投资收到的现金(万元),--,--,5,--,--,9011,17300,171, 
 其中：子公司吸收少数股东投资收到的现金(万元),--,--,5,--,--,--,200,--, 
 取得借款收到的现金(万元),8040,7740,12600,9000,--,1800,--,1318, 
 发行债券收到的现金(万元),--,--,--,--,--,--,--,--, 
 收到其他与筹资活动有关的现金(万元),0,--,--,--,--,2100,--,2400, 
 筹资活动现金流入小计(万元),8040,7740,12605,9000,0,12911,17300,3889, 
 偿还债务支付的现金(万元),11547,9000,2400,--,--,1700,1318,704, 
 分配股利、利润或偿付利息所支付的现金(万元),368,148,307,54,26,607,29,21, 
 其中：子公司支付给少数股东的股利、利润(万元),--,--,--,--,--,--,--,--, 
 支付其他与筹资活动有关的现金(万元),61,--,--,--,--,1649,4642,2932, 
 筹资活动现金流出小计(万元),11975,9148,2707,54,26,3956,5989,3657, 
 筹资活动产生的现金流量净额(万元),-3935,-1408,9898,8946,-26,8955,11311,232, 
 汇率变动对现金及现金等价物的影响(万元),-136,-512,-573,-248,-38,479,444,2, 
 现金及现金等价物净增加额(万元),-9269,-2434,8533,9128,710,-101,6193,802, 
 加:期初现金及现金等价物余额(万元),18800,18617,10084,10084,10084,10185,3992,3190, 
 期末现金及现金等价物余额(万元),9530,16183,18617,19212,10794,10084,10185,3992, 
 净利润(万元),--,--,8346,--,--,5621,5376,5739, 
 少数股东损益(万元),--,--,--,--,--,--,--,--, 
 未确认的投资损失(万元),--,--,--,--,--,--,--,--, 
 资产减值准备(万元),--,--,27,--,--,-33,56,13, 
