报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),178661,201839,206093,140300,152950,117090,122436,83936,81035,51968,40582,50950,20360,9829,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,0,3281,7005,1018,1962,--,--,--,--,--,--,
应收票据(万元),27688,38139,50715,18858,14221,19671,29240,19757,29455,9874,9406,12541,5829,1423,
应收账款(万元),6303,4255,5508,5846,7060,5223,2128,665,240,173,166,952,1018,809,
预付款项(万元),7505,2090,2324,7025,5693,1668,3753,3209,1709,1430,3232,1173,678,197,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),1,339,4,5,5,4,1,2,29,24,45,45,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),2015,2359,3206,3688,4654,1359,2251,1432,873,1835,731,486,1984,222,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),135111,109311,138055,128167,90208,74431,79227,58702,41611,34592,33883,24027,18517,8645,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),56118,53126,57255,23025,5968,1487,2441,5036,679,2402,398,--,--,--,
流动资产合计(万元),413403,411457,463160,326915,284040,227939,242496,174703,155631,102298,88443,90174,48385,21124,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),910,700,200,0,1075,1075,1075,1075,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),214,90,68,92,100,140,102,121,2246,951,333,155,32,168,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,0,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,61149,55235,52163,--,47425,--,43205,34933,13357,13011,12407,--,--,
累计折旧(万元),--,11583,10494,9167,--,7671,--,6980,6016,4733,4416,3805,--,--,
固定资产净值(万元),--,49566,44741,42996,--,39754,--,36225,28917,8624,8595,8602,--,--,
固定资产减值准备(万元),--,48,48,--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),50077,49518,44693,42996,40650,39754,37069,36225,28917,8624,8595,8602,9454,12010,
在建工程(万元),13444,10282,6558,5276,2919,685,89,119,5500,10080,3713,544,--,--,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),12892,12801,10335,10119,10000,10043,9743,9607,8928,9004,8879,8066,1092,886,
开发支出(万元),--,--,--,0,15,0,26,7,85,36,27,--,--,--,
商誉(万元),3220,--,--,60,60,60,60,--,--,--,--,--,--,--,
长期待摊费用(万元),2057,1892,1622,1515,1303,945,523,415,201,206,260,263,96,59,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),5684,3459,4027,2867,2011,2595,2333,2009,2046,2563,1695,2099,1106,398,
其他非流动资产(万元),6750,4977,11217,1957,2605,2745,2489,615,1901,645,188,120,45,7,
非流动资产合计(万元),95248,83718,78719,64882,60738,58043,53509,50193,49824,32108,23689,19848,11825,13528,
资产总计(万元),508651,495175,541879,391797,344778,285982,296006,224896,205454,134407,112132,110022,60210,34653,
短期借款(万元),2300,0,--,--,--,--,--,--,--,--,3121,6966,--,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),503,1956,3371,1821,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,1180,2033,1139,643,691,630,2075,48,1570,4356,1948,--,38,
应付账款(万元),143032,150877,182734,118899,86500,98699,119873,81404,73441,45744,38803,36578,20859,12780,
预收账款(万元),58451,44410,70770,29372,34565,34837,42961,26830,23283,15882,14538,12830,8113,2910,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),5288,13286,6448,3188,2870,9817,4999,4195,9114,6706,2461,5577,2498,772,
应交税费(万元),2141,2404,6545,1603,1955,2236,4694,2215,3957,2675,1237,3241,2422,1897,
应付利息(万元),--,--,--,--,--,--,--,--,--,--,36,36,--,--,
应付股利(万元),--,--,7,7,54,--,--,--,--,--,--,--,3300,3700,
其他应交款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
其他应付款(万元),21536,21948,20428,4993,4162,7533,7647,7187,10369,6397,5681,7084,4008,939,
预提费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),380,368,268,213,231,155,160,169,127,586,--,85,--,--,
其他流动负债(万元),1852,1216,3284,1836,1135,1021,--,--,--,--,71,--,69,4,
流动负债合计(万元),235483,237646,295888,163071,132116,154990,180964,124075,120339,79560,70304,74346,41269,23041,
