报告日期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),12196,21563,20907,23062,23843,16552,
结算备付金(万元),--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,
应收票据(万元),249,372,257,947,624,676,
应收账款(万元),20327,24679,13363,14397,12839,7553,
预付款项(万元),1281,779,1264,1031,666,517,
应收保费(万元),--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,
应收利息(万元),3593,3115,2039,2100,2858,457,
应收股利(万元),--,--,--,--,--,--,
其他应收款(万元),1751,1464,7649,1552,16295,11441,
应收出口退税(万元), --,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,
存货(万元),10834,8765,5086,5138,3377,2711,
待摊费用(万元),--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,
一年内到期的非流动资产(万元),86400,88703,37293,40458,54965,46630,
其他流动资产(万元),26723,59259,19838,29708,53822,14000,
流动资产合计(万元),163354,208698,107695,118393,169287,100537,
发放贷款及垫款(万元),--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,
长期应收款(万元),4544,4223,4520,4061,3244,3838,
长期股权投资(万元),--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,
固定资产原值(万元),28536,26280,--,19036,11633,--,
累计折旧(万元),13446,11906,--,9043,6749,--,
固定资产净值(万元),15090,14375,--,9993,4884,--,
固定资产减值准备(万元),--,--,--,--,--,--,
固定资产(万元),15090,14375,9538,9993,4884,4057,
在建工程(万元),--,--,--,--,--,--,
工程物资(万元),--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,
无形资产(万元),495,532,194,95,93,95,
开发支出(万元),--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,
长期待摊费用(万元),1411,1518,1555,1683,849,902,
股权分置流通权(万元),--,--,--,--,--,--,
递延所得税资产(万元),1234,1161,1530,1357,1104,750,
其他非流动资产(万元),70225,60608,72731,74843,34781,51010,
非流动资产合计(万元),92999,82416,90067,92032,44956,60652,
资产总计(万元),256354,291114,197762,210426,214244,161189,
短期借款(万元),--,--,--,--,11620,7664,
向中央银行借款(万元),--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,
应付账款(万元),10041,18707,6392,9614,7334,4360,
预收账款(万元),19227,25675,18235,19167,16534,13296,
卖出回购金融资产款(万元),--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,
应付职工薪酬(万元),17231,25027,14471,18847,19508,16503,
应交税费(万元),8321,12351,6098,10614,11906,4563,
应付利息(万元),--,--,--,--,14,15,
应付股利(万元),12,1366,8152,8811,18128,--,
其他应交款(万元),--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,
其他应付款(万元),19778,21280,13702,13445,10778,9222,
预提费用(万元),--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,--,--,
其他流动负债(万元),--,--,--,--,--,--,
流动负债合计(万元),74609,104407,67051,80498,95824,55624,
长期借款(万元),--,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,
长期递延收益(万元),7822,7134,4431,3061,3053,3278,
递延所得税负债(万元),5532,5520,6696,5795,5278,5082,
其他非流动负债(万元),--,--,--,--,--,--,
非流动负债合计(万元),13353,12654,11128,8856,8331,8361,
负债合计(万元),87963,117061,78179,89354,104155,63984,
实收资本(或股本)(万元),36000,36000,36000,36000,6000,6000,
资本公积(万元),72117,71595,69733,69085,20802,15876,
减:库存股(万元),--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,
盈余公积(万元),6925,6925,1882,1851,3000,3000,
一般风险准备(万元),--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,
未分配利润(万元),52535,58416,10453,12589,80188,72248,
拟分配现金股利(万元),--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,
归属于母公司股东权益合计(万元),168391,174054,119583,121072,110089,97205,
少数股东权益(万元),--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),168391,174054,119583,121072,110089,97205,
负债和所有者权益(或股东权益)总计(万元),256354,291114,197762,210426,214244,161189,		
  
