报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),112739,94664,76524,60228,76536,74864,51641,41255,50825,32083,35291,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),2004,1654,--,--,--,--,--,--,--,--,--,
应收账款(万元),88330,81156,80627,72646,64464,61229,48510,45467,32890,22516,10001,
预付款项(万元),6357,4741,5083,5258,7825,3015,3849,1442,3045,988,372,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),1849,1487,1779,1545,1643,1177,1273,14642,24671,26575,31998,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,
存货(万元),14937,13858,13367,12909,9538,7359,11140,9441,8706,6739,3049,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),142914,185646,198919,171252,152802,172590,188290,175523,1251,295,551,
流动资产合计(万元),369130,383207,376300,323838,312807,320234,304703,287770,121388,89195,81260,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),19252,20639,16835,9491,8649,8649,--,--,50,50,10,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),235,224,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),1754,1136,1188,1249,1299,1370,2563,2458,2546,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,98654,--,81840,76473,73557,52741,--,45281,--,--,
累计折旧(万元),--,26184,--,22127,20129,18156,10661,--,10916,--,--,
固定资产净值(万元),--,72470,--,59713,56344,55401,42080,--,34365,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产(万元),77749,72470,66784,59713,56344,55401,42080,32842,34365,20578,13116,
在建工程(万元),355,1474,1237,1063,519,263,989,823,6388,7117,465,
工程物资(万元),--,--,--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,--,--,
无形资产(万元),15584,16014,16035,16321,16766,17167,18924,19666,20325,21304,12,
开发支出(万元),--,--,--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),7501,7397,6509,6673,7085,7414,4962,5670,3712,3491,2453,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),5008,4883,4460,4396,4544,3845,3877,4582,4989,4906,2975,
其他非流动资产(万元),8421,3737,7913,9005,7997,8667,12987,11185,11128,3101,77,
非流动资产合计(万元),135859,127974,120962,107911,103203,102775,86383,77226,83503,60546,19108,
资产总计(万元),504989,511181,497262,431749,416010,423009,391086,364996,204891,149740,100368,
短期借款(万元),800,800,800,300,300,300,813,1309,731,245,90,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,--,--,
应付票据(万元),--,--,--,--,--,--,--,--,--,--,--,
应付账款(万元),9185,11966,18120,10925,6630,5792,4680,4608,4518,5525,3778,
预收账款(万元),35614,39250,38955,42515,42004,43809,44606,39356,32751,33066,31421,
