报告日期,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),24091,24133,20097,28323,37832,9488,199,31,
结算备付金(万元),--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,
应收票据(万元),16489,18981,9003,33460,17912,4660,300,--,
应收账款(万元),86114,90911,62977,40464,21423,32892,4228,2,
预付款项(万元),1900,643,249,17,1376,181,77,38,
应收保费(万元),--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,
应收利息(万元),14,36,--,20,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,
其他应收款(万元),2367,444,429,192,341,195,282,97,
应收出口退税(万元), --,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,
存货(万元),9583,9696,14692,13202,7430,3878,1575,9,
待摊费用(万元),--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),440,--,--,--,--,--,--,--,
其他流动资产(万元),--,257,272,1141,286,4,2,4,
流动资产合计(万元),141000,145100,107720,116818,86601,51297,6662,181,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,
长期股权投资(万元),--,--,--,--,--,--,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,
固定资产原值(万元),--,17665,--,2850,--,941,--,--,
累计折旧(万元),--,1985,--,443,--,154,--,--,
固定资产净值(万元),--,15680,--,2407,--,787,--,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,
固定资产(万元),15271,15680,14627,2407,1300,787,239,52,
在建工程(万元),2505,2134,2249,572,--,--,--,--,
工程物资(万元),32,6,6,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,
无形资产(万元),7013,6944,6997,2553,2497,32,265,333,
开发支出(万元),--,--,--,--,--,--,--,--,
商誉(万元),2047,2047,2047,--,--,--,--,--,
长期待摊费用(万元),292,372,208,134,44,21,17,15,
股权分置流通权(万元),--,--,--,--,--,--,--,--,
递延所得税资产(万元),3039,3039,1012,940,284,434,32,8,
其他非流动资产(万元),961,967,553,989,363,125,--,5,
非流动资产合计(万元),31162,31190,27700,7596,4487,1398,554,412,
资产总计(万元),172162,176290,135420,124414,91088,52695,7216,594,
短期借款(万元),42829,36086,19811,10117,12700,3080,400,--,
向中央银行借款(万元),--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,
应付票据(万元),22798,13698,7645,11727,5000,5536,219,--,
应付账款(万元),25235,40466,26185,36276,16589,17631,3907,51,
预收账款(万元),2,5,10,2,5,2,2,5,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,
应付职工薪酬(万元),420,823,456,740,249,281,56,19,
应交税费(万元),662,2008,1503,1490,223,1687,206,--,
应付利息(万元),69,79,29,13,15,3,1,--,
应付股利(万元),--,--,--,--,--,--,--,--,
其他应交款(万元),--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,
其他应付款(万元),1611,3582,6003,129,83,29,190,111,
预提费用(万元),--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),2070,--,1828,140,45,38,--,--,
其他流动负债(万元),--,2132,--,--,--,--,--,--,
流动负债合计(万元),95697,98879,63470,60632,34909,28288,4980,185,
长期借款(万元),4100,4100,5150,--,--,--,--,--,
应付债券(万元),--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,95,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,
预计非流动负债(万元),3189,3137,2464,1779,1018,758,84,--,
长期递延收益(万元),573,574,594,609,--,443,--,--,
递延所得税负债(万元),724,724,828,--,442,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,
非流动负债合计(万元),8585,8535,9131,2388,1460,1201,84,0,
负债合计(万元),104282,107414,72602,63021,36369,29489,5064,185,
实收资本(或股本)(万元),5887,5887,5887,5887,5887,5422,561,500,
资本公积(万元),42547,42547,42547,42547,42818,13012,1139,--,
减:库存股(万元),--,--,--,--,--,--,--,--,
专项储备(万元),--,--,--,--,--,--,--,--,
盈余公积(万元),2103,2103,1312,1312,571,482,45,--,
一般风险准备(万元),--,--,--,--,--,--,--,--,
未确定的投资损失(万元),--,--,--,--,--,--,--,--,
未分配利润(万元),17342,18339,13072,11647,5442,4291,407,-92,
拟分配现金股利(万元),--,--,--,--,--,--,--,--,
外币报表折算差额(万元),--,--,--,--,--,--,--,--,
归属于母公司股东权益合计(万元),67880,68876,62818,61393,54719,23207,2152,408,
少数股东权益(万元),--,--,--,--,--,--,--,--,
所有者权益(或股东权益)合计(万元),67880,68876,62818,61393,54719,23207,2152,408,
负债和所有者权益(或股东权益)总计(万元),172162,176290,135420,124414,91088,52695,7216,594,		
