报告日期,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
货币资金(万元),36818,15797,17641,16895,
结算备付金(万元),--,--,--,--,
拆出资金(万元),--,--,--,--,
交易性金融资产(万元),--,--,--,--,
衍生金融资产(万元),--,--,--,--,
应收票据(万元),25234,23052,29826,45531,
应收账款(万元),23029,23857,18409,27213,
预付款项(万元),2357,3274,3322,5584,
应收保费(万元),--,--,--,--,
应收分保账款(万元),--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,
应收利息(万元),--,--,--,--,
应收股利(万元),--,--,--,--,
其他应收款(万元),170,567,308,128,
应收出口退税(万元), --,--,--,--,
应收补贴款(万元),--,--,--,--,
应收保证金(万元),--,--,--,--,
内部应收款(万元),--,--,--,--,
买入返售金融资产(万元),--,--,--,--,
存货(万元),9431,8020,5424,5381,
待摊费用(万元),--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,
其他流动资产(万元),247,18796,7101,2243,
流动资产合计(万元),97286,94950,82031,102975,
发放贷款及垫款(万元),--,--,--,--,
可供出售金融资产(万元),--,--,--,--,
持有至到期投资(万元),--,--,--,--,
长期应收款(万元),--,--,--,--,
长期股权投资(万元),--,--,--,--,
其他长期投资(万元),--,--,--,--,
投资性房地产(万元),--,--,--,--,
固定资产原值(万元),21056,17047,16052,--,
累计折旧(万元),11949,9944,8364,--,
固定资产净值(万元),9107,7103,7688,--,
固定资产减值准备(万元),--,--,--,--,
固定资产(万元),9107,7103,7688,8201,
在建工程(万元),659,565,141,405,
工程物资(万元),--,--,--,--,
固定资产清理(万元),--,--,--,--,
生产性生物资产(万元),--,--,--,--,
公益性生物资产(万元),--,--,--,--,
油气资产(万元),--,--,--,--,
无形资产(万元),3936,1849,3134,2426,
开发支出(万元),--,--,--,--,
商誉(万元),77,--,--,--,
长期待摊费用(万元),233,280,547,341,
股权分置流通权(万元),--,--,--,--,
递延所得税资产(万元),559,573,467,781,
其他非流动资产(万元),--,--,--,--,
非流动资产合计(万元),14571,10370,11977,12155,
资产总计(万元),111857,105320,94009,115129,
短期借款(万元),8100,10100,10100,12370,
向中央银行借款(万元),--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,
拆入资金(万元),--,--,--,--,
交易性金融负债(万元),--,--,--,--,
衍生金融负债(万元),--,--,--,--,
应付票据(万元),38338,34112,26255,45419,
应付账款(万元),5048,6697,5304,5491,
预收账款(万元),1545,3055,3075,3468,
卖出回购金融资产款(万元),--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,
应付职工薪酬(万元),2757,2072,1511,1223,
应交税费(万元),2435,2698,3298,3336,
应付利息(万元),11,13,446,302,
应付股利(万元),--,--,7021,121,
其他应交款(万元),--,--,--,--,
应付保证金(万元),--,--,--,--,
内部应付款(万元),--,--,--,--,
其他应付款(万元),152,101,127,2604,
预提费用(万元),--,--,--,--,
预计流动负债(万元),--,--,--,--,
应付分保账款(万元),--,--,--,--,
保险合同准备金(万元),--,--,--,--,
代理买卖证券款(万元),--,--,--,--,
代理承销证券款(万元),--,--,--,--,
国际票证结算(万元),--,--,--,--,
国内票证结算(万元),--,--,--,--,
递延收益(万元),--,--,--,--,
应付短期债券(万元),--,--,--,--,
一年内到期的非流动负债(万元),--,--,--,--,
其他流动负债(万元),--,--,--,--,
流动负债合计(万元),58387,58847,57136,74334,
长期借款(万元),--,--,--,--,
应付债券(万元),--,--,--,--,
长期应付款(万元),--,--,--,--,
专项应付款(万元),--,--,--,--,
预计非流动负债(万元),--,--,--,--,
长期递延收益(万元),458,580,703,975,
递延所得税负债(万元),--,--,--,--,
其他非流动负债(万元),--,--,--,--,
非流动负债合计(万元),458,580,703,975,
负债合计(万元),58845,59427,57839,75309,
实收资本(或股本)(万元),8000,8000,8000,8000,
资本公积(万元),26350,26350,13872,10574,
减:库存股(万元),--,--,--,--,
专项储备(万元),909,938,1091,997,
盈余公积(万元),2069,987,2290,1911,
一般风险准备(万元),--,--,--,--,
未确定的投资损失(万元),--,--,--,--,
未分配利润(万元),15082,9144,10524,17996,
拟分配现金股利(万元),--,--,--,--,
外币报表折算差额(万元),--,--,--,--,
归属于母公司股东权益合计(万元),52410,45419,35777,39478,
少数股东权益(万元),602,474,392,342,
所有者权益(或股东权益)合计(万元),53013,45893,36170,39820,
负债和所有者权益(或股东权益)总计(万元),111857,105320,94009,115129,		
  
