报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
货币资金(万元),26639,26343,17698,23813,36889,12250,17304,14857,12325,11409,13196,7747,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收票据(万元),2333,3057,508,316,189,60,817,543,3291,3011,483,--,
应收账款(万元),52525,52369,54097,36780,31718,37479,24745,11368,20263,17523,10737,7918,
预付款项(万元),1378,733,1668,2617,4975,344,1216,3337,772,386,815,637,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收利息(万元),581,--,--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,581,--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),9538,8135,9840,8656,7547,7477,6676,3348,650,289,332,596,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
存货(万元),47675,44951,31090,46004,58199,39854,40693,30975,28018,5980,6336,8502,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),9826,26312,10543,12220,9888,4578,4917,7066,7262,2000,1200,6000,
流动资产合计(万元),150494,162482,125444,130407,149405,102041,97856,71493,72581,40598,33099,31400,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,--,--,
长期股权投资(万元),615,567,1144,1104,963,988,939,1969,364,248,--,--,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,--,--,--,--,--,--,--,--,--,
固定资产原值(万元),--,65144,--,39034,--,17266,17121,16967,13175,11979,7233,2586,
累计折旧(万元),--,5308,--,4170,--,3436,3209,2524,1748,1059,497,211,
固定资产净值(万元),--,59835,--,34864,--,13830,13913,14444,11427,10920,6736,2375,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,--,--,--,
