报告日期,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
货币资金(万元),75743,84290,132717,90913,119643,98045,52463,74965,88177,77651,
结算备付金(万元),--,--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,--,
应收票据(万元),75,--,425,--,700,--,--,--,--,--,
应收账款(万元),379,1313,7765,1286,1326,3503,9,525,335,315,
预付款项(万元),12350,13318,10101,6524,4868,2075,2146,941,1093,2878,
应收保费(万元),--,--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,--,--,--,--,--,
其他应收款(万元),3822,6175,2728,2851,2295,684,1203,705,1063,3731,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,--,
存货(万元),10428,9995,14109,13255,9086,9705,5166,9112,8322,7665,
待摊费用(万元),--,--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,--,
其他流动资产(万元),27893,34690,13153,6828,4754,4158,1138,28051,30,--,
流动资产合计(万元),130690,149782,180999,121657,142672,118170,62126,114299,99020,92239,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),1880,1880,1880,1880,1880,1880,1880,1880,1880,1380,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,--,
