报告日期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
货币资金(万元),56097,30995,18121,14906,34204,23508,22562,21924,38502,
结算备付金(万元),--,--,--,--,--,--,--,--,--,
拆出资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融资产(万元),--,--,--,--,--,--,--,--,--,
衍生金融资产(万元),--,--,--,--,--,--,--,--,--,
应收票据(万元),24315,16666,7500,13376,11412,10987,5930,6204,9998,
应收账款(万元),86744,101511,98213,82564,79298,64549,60356,49665,60771,
预付款项(万元),1743,1027,1489,895,1213,1423,746,663,1002,
应收保费(万元),--,--,--,--,--,--,--,--,--,
应收分保账款(万元),--,--,--,--,--,--,--,--,--,
应收分保合同准备金(万元),--,--,--,--,--,--,--,--,--,
应收利息(万元),--,--,--,--,--,--,--,--,--,
应收股利(万元),--,--,--,--,--,158,158,131,--,
其他应收款(万元),1168,844,943,933,982,1039,2003,6364,1287,
应收出口退税(万元), --,--,--,--,--,--,--,--,--,
应收补贴款(万元),--,--,--,--,--,--,--,--,--,
应收保证金(万元),--,--,--,--,--,--,--,--,--,
内部应收款(万元),--,--,--,--,--,--,--,--,--,
买入返售金融资产(万元),--,--,--,--,--,--,--,--,--,
存货(万元),140727,139025,149754,146068,144743,141824,124553,96242,88413,
待摊费用(万元),--,--,--,--,--,--,--,--,--,
待处理流动资产损益(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动资产(万元),--,--,--,--,--,--,--,--,--,
其他流动资产(万元),2347,790,1373,2654,157,5873,8558,2431,821,
流动资产合计(万元),313141,290858,277393,261395,272009,249361,224866,183625,200794,
发放贷款及垫款(万元),--,--,--,--,--,--,--,--,--,
可供出售金融资产(万元),--,--,--,--,--,--,--,--,--,
持有至到期投资(万元),--,--,--,--,--,--,--,--,--,
长期应收款(万元),--,--,--,--,--,--,--,--,--,
长期股权投资(万元),3720,3733,3512,3483,3395,3339,3150,2575,2079,
其他长期投资(万元),--,--,--,--,--,--,--,--,--,
投资性房地产(万元),--,--,--,1480,1502,1525,2132,2114,1915,
固定资产原值(万元),--,79288,78769,76544,76171,--,67807,66786,--,
累计折旧(万元),--,22165,21136,19752,17749,--,15009,12232,--,
固定资产净值(万元),--,57123,57633,56792,58422,--,52798,54554,--,
固定资产减值准备(万元),--,--,--,--,--,--,--,--,--,
固定资产(万元),56179,57123,57633,56792,58422,52340,52798,54554,55518,
在建工程(万元),652,632,179,179,179,--,--,183,7,
工程物资(万元),--,--,--,--,--,--,--,--,--,
固定资产清理(万元),--,--,--,--,--,--,--,--,--,
生产性生物资产(万元),--,--,--,--,--,--,--,--,--,
公益性生物资产(万元),--,--,--,--,--,--,--,--,--,
油气资产(万元),--,--,--,--,--,--,--,--,--,
无形资产(万元),5380,5451,5427,5496,5078,4686,4766,4525,4538,
开发支出(万元),--,--,--,--,--,--,--,--,--,
商誉(万元),--,--,--,--,--,--,--,--,--,
长期待摊费用(万元),1410,1487,1567,1590,187,193,--,--,--,
股权分置流通权(万元),--,--,--,--,--,--,--,--,--,
递延所得税资产(万元),810,915,1056,681,681,824,782,555,443,
其他非流动资产(万元),823,830,1249,1025,1158,1049,477,734,640,
非流动资产合计(万元),68975,70172,70623,70727,70602,63956,64105,65240,65140,
资产总计(万元),382116,361030,348015,332122,342611,313317,288972,248865,265934,
短期借款(万元),25500,45000,46000,44200,42000,37100,51900,48500,46800,
向中央银行借款(万元),--,--,--,--,--,--,--,--,--,
吸收存款及同业存放(万元),--,--,--,--,--,--,--,--,--,
拆入资金(万元),--,--,--,--,--,--,--,--,--,
交易性金融负债(万元),--,--,--,--,--,--,--,--,--,
衍生金融负债(万元),--,--,--,--,--,--,--,--,--,
应付票据(万元),4903,10105,11124,8634,9266,8235,5999,6724,14035,
应付账款(万元),54253,55591,63672,60399,55337,53316,43918,33516,42402,
预收账款(万元),50006,37598,31128,25324,34040,28165,24011,12494,17985,
卖出回购金融资产款(万元),--,--,--,--,--,--,--,--,--,
应付手续费及佣金(万元),--,--,--,--,--,--,--,--,--,
应付职工薪酬(万元),652,6045,654,654,5616,703,4688,4120,3117,
应交税费(万元),123,307,228,303,227,136,412,1779,2560,
应付利息(万元),--,--,--,--,--,--,--,--,--,
应付股利(万元),--,--,--,--,12586,12586,--,--,6426,
其他应交款(万元),--,--,--,--,--,--,--,--,--,
应付保证金(万元),--,--,--,--,--,--,--,--,--,
内部应付款(万元),--,--,--,--,--,--,--,--,--,
其他应付款(万元),968,600,569,514,1065,3392,299,1357,2380,
预提费用(万元),--,--,--,--,--,--,--,--,--,
预计流动负债(万元),--,--,--,--,--,--,--,--,--,
应付分保账款(万元),--,--,--,--,--,--,--,--,--,
保险合同准备金(万元),--,--,--,--,--,--,--,--,--,
代理买卖证券款(万元),--,--,--,--,--,--,--,--,--,
代理承销证券款(万元),--,--,--,--,--,--,--,--,--,
国际票证结算(万元),--,--,--,--,--,--,--,--,--,
国内票证结算(万元),--,--,--,--,--,--,--,--,--,
递延收益(万元),--,--,--,--,--,--,--,--,--,
应付短期债券(万元),--,--,--,--,--,--,--,--,--,
一年内到期的非流动负债(万元),33600,20000,--,--,--,--,10400,--,8000,
其他流动负债(万元),--,--,--,--,--,--,--,--,--,
流动负债合计(万元),170006,175247,153375,140029,160138,143634,141627,108490,143705,
长期借款(万元),4700,18300,38800,38800,34300,34700,--,11200,12000,
应付债券(万元),--,--,--,--,--,--,--,--,--,
长期应付款(万元),--,--,--,--,--,--,--,--,--,
专项应付款(万元),--,--,--,--,--,--,--,--,--,
预计非流动负债(万元),--,--,--,--,--,--,--,--,--,
长期递延收益(万元),2021,2111,2207,2062,2224,2024,2028,1666,1436,
递延所得税负债(万元),--,--,--,--,--,--,--,--,--,
其他非流动负债(万元),--,--,--,--,--,--,--,--,--,
