证券代码,证券名称,"员工总数

[年度]2017","报告期股息率

[报告期]去年年报

[交易日期]最新(2018-08-21)

[单位]%",平均月薪
000553.SZ,沙隆达A,1598 ,0.4542,"205,353.5472"
000415.SZ,渤海金控,800 ,1.7045,"144,779.8958"
600816.SH,安信信托,257 ,6.3516,"138,218.0921"
600636.SH,三爱富,276 ,——,"115,730.3454"
600491.SH,龙元建设,4704 ,0.4755,"84,117.6158"
600777.SH,新潮能源,173 ,——,"77,741.6599"
601360.SH,三六零,2737 ,0.0117,"77,649.3142"
600643.SH,爱建集团,498 ,1.3841,"77,349.4022"
002062.SZ,宏润建设,1526 ,1.3123,"76,633.3583"
600299.SH,安迪苏,1956 ,1.4940,"65,005.8188"
600958.SH,东方证券,4710 ,2.3669,"63,667.6249"
000979.SZ,中弘股份,987 ,——,"59,833.9410"
601377.SH,XD兴业证,5705 ,3.2189,"58,966.6353"
600649.SH,XD城投控,265 ,4.0783,"55,745.0679"
603444.SH,吉比特,495 ,2.0734,"55,505.0705"
300071.SZ,华谊嘉信,1535 ,——,"55,404.1803"
600109.SH,国金证券,3282 ,0.7299,"54,261.4586"
600837.SH,海通证券,10084 ,2.6807,"52,729.5764"
600901.SH,江苏租赁,204 ,1.7070,"50,596.3194"
300282.SZ,三盛教育,438 ,——,"49,868.0723"
600030.SH,中信证券,16161 ,2.4752,"48,792.2223"
600621.SH,华鑫股份,1615 ,2.7604,"48,700.1445"
600807.SH,*ST天业,488 ,——,"47,857.8041"
600376.SH,首开股份,1744 ,8.8496,"47,194.3181"
000776.SZ,广发证券,12019 ,2.9940,"46,753.3097"
600026.SH,中远海能,3157 ,1.1792,"46,591.1491"
000338.SZ,潍柴动力,41402 ,3.2552,"46,521.2556"
002499.SZ,科林环保,113 ,0.1862,"45,882.3535"
300662.SZ,科锐国际,1604 ,0.3621,"45,527.1633"
600890.SH,中房股份,27 ,——,"43,482.6481"
000567.SZ,海德股份,45 ,——,"43,337.7688"
600622.SH,光大嘉宝,462 ,2.5045,"43,035.7863"
000151.SZ,中成股份,393 ,2.0492,"42,897.8527"
600741.SH,华域汽车,29821 ,5.1877,"42,513.6465"
601229.SH,上海银行,10000 ,3.1859,"41,213.7750"
600390.SH,五矿资本,1776 ,——,"40,960.2329"
600369.SH,西南证券,2906 ,1.3587,"40,906.9959"
300104.SZ,乐视网,2180 ,——,"40,826.5961"
600036.SH,招商银行,72530 ,3.0996,"40,801.5074"
600999.SH,招商证券,10633 ,2.6493,"40,538.9418"
000001.SZ,平安银行,32502 ,1.4735,"40,430.8453"
601998.SH,中信银行,56724 ,4.4768,"40,428.2138"
600406.SH,国电南瑞,5865 ,2.3560,"39,454.6822"
002089.SZ,新海宜,443 ,——,"39,111.1184"
601009.SH,南京银行,9854 ,4.7718,"38,988.4818"
000608.SZ,阳光股份,181 ,0.6098,"38,513.3517"
601108.SH,财通证券,3083 ,1.7804,"38,426.1974"
601169.SH,北京银行,14680 ,4.6354,"38,283.3787"
601198.SH,东兴证券,3022 ,1.5152,"37,667.9920"
600246.SH,万通地产,351 ,0.6923,"37,422.5600"
000606.SZ,顺利办,364 ,——,"37,392.9847"
600326.SH,西藏天路,659 ,1.0870,"37,325.4636"
002142.SZ,宁波银行,12185 ,2.4953,"37,306.5860"
600848.SH,上海临港,296 ,0.5538,"36,841.1668"
000676.SZ,智度股份,638 ,0.2488,"36,781.5468"
600900.SH,长江电力,4036 ,4.1038,"36,773.5734"
600919.SH,江苏银行,14812 ,2.9032,"36,761.2240"
603828.SH,柯利达,1042 ,0.2629,"36,736.0164"
000750.SZ,国海证券,2505 ,1.7595,"36,711.5519"
600284.SH,浦东建设,501 ,2.5014,"36,697.2692"
000563.SZ,陕国投A,498 ,0.5340,"36,613.4232"
600926.SH,杭州银行,6715 ,2.7614,"36,495.5324"
600016.SH,民生银行,57882 ,1.2733,"36,164.0925"
600000.SH,浦发银行,54263 ,0.9881,"36,085.0549"
002375.SZ,亚厦股份,5450 ,0.7561,"36,080.3077"
600695.SH,绿庭投资,68 ,——,"35,983.5884"
002736.SZ,国信证券,9109 ,1.7986,"35,901.4736"
000626.SZ,远大控股,780 ,——,"35,601.7719"
002417.SZ,深南股份,110 ,——,"35,541.6060"
600696.SH,ST岩石,20 ,——,"35,539.8816"
000686.SZ,东北证券,3076 ,1.6103,"35,530.8077"
002177.SZ,御银股份,299 ,0.4323,"35,175.3077"
002485.SZ,希努尔,475 ,——,"35,140.6793"
600743.SH,华远地产,660 ,4.0000,"34,956.9201"
601211.SH,国泰君安,14877 ,2.6972,"34,779.1031"
603986.SH,兆易创新,412 ,0.2651,"34,553.8584"
000965.SZ,天保基建,133 ,0.2119,"34,522.0057"
600597.SH,光明乳业,5860 ,1.6878,"34,496.4443"
600896.SH,*ST海投,133 ,——,"34,330.4291"
002575.SZ,群兴玩具,26 ,——,"34,214.8370"
601881.SH,中国银河,10099 ,1.5584,"33,891.0268"
000628.SZ,高新发展,942 ,——,"33,738.2427"
600545.SH,卓郎智能,4484 ,0.1284,"33,721.4704"
000961.SZ,中南建设,10139 ,0.3460,"33,709.6235"
600120.SH,浙江东方,1368 ,0.8071,"33,519.4452"
002018.SZ,*ST华信,111 ,——,"33,436.7899"
600061.SH,国投资本,7759 ,0.6943,"33,262.9775"
601066.SH,中信建投,10231 ,——,"33,145.7142"
002500.SZ,山西证券,2353 ,1.4241,"33,133.3241"
600634.SH,*ST富控,466 ,——,"32,992.3153"
300291.SZ,华录百纳,304 ,0.4590,"32,852.8006"
603698.SH,航天工程,629 ,0.9469,"32,602.5232"
300293.SZ,蓝英装备,1187 ,——,"32,463.7531"
300251.SZ,光线传媒,413 ,2.3725,"32,448.1997"
600073.SH,上海梅林,7056 ,0.4732,"32,377.8898"
600180.SH,瑞茂通,389 ,0.7848,"32,234.2264"
601166.SH,兴业银行,61633 ,4.2876,"32,162.1534"
600018.SH,上港集团,17213 ,3.0335,"31,993.1422"
000006.SZ,深振业A,370 ,3.2849,"31,782.0038"
000736.SZ,中交地产,780 ,3.4154,"31,739.2720"
000416.SZ,民生控股,63 ,1.0965,"31,711.9448"
600835.SH,上海机电,2546 ,3.0888,"31,604.2905"
600895.SH,张江高科,156 ,0.9872,"31,287.0433"
601099.SH,太平洋,2032 ,0.4348,"31,262.5817"
600053.SH,九鼎投资,580 ,——,"31,139.0820"
000938.SZ,紫光股份,12443 ,0.3017,"31,044.2342"
300418.SZ,昆仑万维,1432 ,0.5347,"30,959.7390"
601519.SH,大智慧,773 ,——,"30,775.8977"
000760.SZ,斯太尔,482 ,——,"30,692.2340"
000728.SZ,国元证券,3330 ,2.2255,"30,585.6983"
603323.SH,吴江银行,1511 ,2.4194,"30,368.9058"
000670.SZ,盈方微,138 ,——,"30,298.2353"
000783.SZ,长江证券,6544 ,2.9880,"30,253.4094"
000811.SZ,冰轮环境,1384 ,1.7058,"30,187.5963"
300407.SZ,凯发电气,1312 ,0.7092,"30,172.2685"
603686.SH,龙马环卫,1416 ,1.3370,"30,123.3039"
600791.SH,京能置业,158 ,0.3538,"30,069.4181"
002401.SZ,中远海科,682 ,0.4677,"30,040.6419"
000166.SZ,申万宏源,14129 ,1.1338,"29,729.5870"
601555.SH,东吴证券,2864 ,2.2831,"29,717.9901"
002624.SZ,完美世界,4965 ,0.7230,"29,703.5098"
000712.SZ,锦龙股份,1373 ,1.1682,"29,619.3898"
601878.SH,浙商证券,3308 ,1.4205,"29,408.5226"
