代码,    名称,现价,所属行业,总市值,流通市值
SH600000,浦发银行,10.1,银行,2.96456E+11,2.83848E+11
SH600004,白云机场,13.4,机场航运,27728895000,27728895000
SH600006,东风汽车,3.87,汽车整车,7740000000,7740000000
SH600007,中国国贸,15.29,房地产开发,15401350000,15401350000
SH600008,首创股份,4.08,燃气水务,19668106000,19668106000
SH600009,上海机场,57.74,机场航运,1.11263E+11,63137327000
SH600010,包钢股份,1.66,钢铁,75671154000,52584171000
SH600011,华能国际,7.19,电力,1.09291E+11,75495000000
SH600012,皖通高速,5.7,公路铁路运输,9454077000,6643920000
SH600015,华夏银行,7.49,银行,96041923000,96041923000
SH600016,民生银行,5.95,银行,2.60505E+11,2.11E+11
SH600017,日照港,3.29,港口航运,10118901300,10118901300
SH600018,上港集团,5.89,港口航运,1.36493E+11,1.36493E+11
SH600019,宝钢股份,8.58,钢铁,1.91059E+11,1.89627E+11
SH600020,中原高速,3.72,公路铁路运输,8360223200,8360223200
SH600021,上海电力,7.59,电力,18289298000,6495876900
SH600022,山东钢铁,--,钢铁,22112030000,21590998000
SH600023,浙能电力,4.9,电力,66643381000,66643381000
SH600025,华能水电,2.95,电力,53100000000,5310000000
SH600026,中远海能,4.29,港口航运,17297421000,11737581000
SH600027,华电国际,4.18,电力,41227242000,28359652000
SH600028,中国石化,6.63,基础化学,8.02702E+11,6.33548E+11
SH600029,南方航空,6.62,机场航运,66783707000,46489943000
SH600030,中信证券,16.26,证券,1.97021E+11,1.59586E+11
SH600031,三一重工,9.44,专用设备,73052588000,72689109000
SH600033,福建高速,2.98,公路铁路运输,8178312000,8178312000
SH600035,楚天高速,3.19,公路铁路运输,5512597000,4757550300
SH600036,招商银行,28.21,银行,7.11452E+11,5.81943E+11
SH600037,歌华有线,9.65,通信服务,13430657000,11274597100
SH600038,中直股份,33.98,国防军工,20030419000,20030419000
SH600039,四川路桥,3.92,建筑装饰,14153260000,11837352100
SH600048,保利地产,11.13,房地产开发,1.31984E+11,1.30625E+11
SH600050,中国联通,5.31,通信服务,1.64758E+11,1.02466E+11
SH600051,宁波联合,6.18,房地产开发,1921238400,1921238400
SH600052,浙江广厦,3.22,房地产开发,2807160900,2807160900
SH600053,九鼎投资,14.7,保险及其他,6373049800,6373049800
SH600054,黄山旅游,11.62,景点及旅游,8683626000,5964546000
SH600055,万东医疗,9.53,医疗器械服务,5153978400,4620601400
SH600056,中国医药,17.22,医药商业,18399321000,17428983000
SH600057,厦门象屿,5.12,物流,11046164900,10944224100
SH600058,五矿发展,8.52,贸易,9132679300,9132679300
SH600059,古越龙山,7.81,饮料制造,6314573700,6314573700
SH600060,海信电器,10.65,视听器材,13935325000,13935325000
SH600061,国投资本,9.1,证券,38466881000,33616781000
SH600062,华润双鹤,21.77,化学制药,18926071000,14934985000
SH600063,皖维高新,2.78,化工合成材料,5353987200,5353987200
SH600064,南京高科,7.45,园区开发,9207878800,9207878800
SH600066,宇通客车,15.73,汽车整车,34825264000,34825264000
SH600067,冠城大通,3.88,房地产开发,5789389600,5789389600
SH600068,葛洲坝,7.85,建筑装饰,36147503000,36147503000
SH600069,银鸽投资,3.63,造纸,5894516900,5894516900
SH600070,浙江富润,6.58,综合,3434405500,2641989200
SH600071,凤凰光学,11.12,其他电子,2640693700,2640693700
SH600072,中船科技,9.17,国防军工,6751411400,5509141300
SH600073,上海梅林,6.63,食品加工制造,6217146400,6217146400
SH600075,新疆天业,6.91,基础化学,6720129500,5751881800
SH600076,康欣新材,4.79,包装印刷,4954125200,3603874500
SH600077,宋都股份,3.25,房地产开发,4355397600,4355397600
SH600078,澄星股份,3.84,化学制品,2544279800,2544279800
SH600079,人福医药,12.2,化学制药,16515192000,15689799000
SH600080,金花股份,9.77,生物制品,3646850700,2982740700
SH600081,东风科技,9.86,汽车零部件,3091701600,3091701600
SH600082,海泰发展,4.55,综合,2939827000,2878065200
SH600083,博信股份,18.13,建筑装饰,4169900000,4133519000
SH600084,中葡股份,3.96,饮料制造,4449958200,4449958200
SH600085,同仁堂,31.35,中药,42995593000,42995593000
SH600086,东方金钰,--,家用轻工,13554000000,10610724000
SH600088,中视传媒,9.16,景点及旅游,3642990600,3642990600
SH600089,特变电工,6.84,电气设备,25407199000,25405899000
SH600090,同济堂,5.62,医药商业,8090905800,3949157000
SH600093,易见股份,9.91,物流,11123454700,11123454700
SH600094,大名城,4.94,房地产开发,12228105800,11246428500
SH600095,哈高科,4.26,房地产开发,1538982800,1538982800
SH600096,云天化,5.69,化学制品,7518647300,6384920000
SH600097,开创国际,10.08,养殖业,2428640500,2042186800
SH600098,广州发展,6.47,电力,17638492000,17638492000
SH600099,林海股份,6.66,非汽车交运,1459339200,1459339200
SH600100,同方股份,9.78,计算机设备,28986932000,28986932000
SH600101,明星电力,7.07,电力,2291945400,2291945400
SH600103,青山纸业,3,造纸,5321118000,3185524800
SH600104,上汽集团,29.48,汽车整车,3.44428E+11,3.39121E+11
SH600105,永鼎股份,3.53,通信设备,4423305400,4336573300
SH600106,重庆路桥,3.41,公路铁路运输,3745434300,3745434300
SH600107,美尔雅,6.05,服装家纺,2178000000,2178000000
SH600108,亚盛集团,3.16,种植业与林业,6152251800,6152251800
SH600109,国金证券,6.74,证券,20384182000,20384182000
SH600110,诺德股份,5.16,其他电子,5935610400,5935610400
SH600111,北方稀土,10.59,有色冶炼加工,38474169000,38474169000
SH600112,天成控股,3.53,电气设备,1797493100,1797493100
SH600113,浙江东日,8.05,零售,2564730000,2564730000
SH600114,东睦股份,9.02,新材料,5825066600,5722274700
SH600115,东方航空,5.48,机场航运,79282370000,53750502000
SH600116,三峡水利,7.04,电力,6990758700,6990758700
SH600117,西宁特钢,5.12,钢铁,5351005500,3795042600
SH600118,中国卫星,18.17,国防军工,21485828000,21485828000
SH600119,长江投资,9.25,物流,2843450000,2843450000
SH600120,浙江东方,12.83,保险及其他,11218399200,8533546300
SH600121,郑州煤电,3.91,煤炭开采加工,3969992600,3969992600
